variant,canonical,verdict,note
urbanisation,urbanization,variant,the variant column is the nonstandard spelling
sanitarium,sanatorium,variant,the variant column is the nonstandard spelling
bloomer,bloomers,plural,"one side is a plural of the other, not a spelling variant"
gipsy,gypsy,variant,the variant column is the nonstandard spelling
nob,knob,unrelated,not a spelling pair
clench,clinch,unrelated,not a spelling pair
jeweller,jeweler,variant,the variant column is the nonstandard spelling
lah,la,variant,the variant column is the nonstandard spelling
winder,window,unrelated,not a spelling pair
gratuity,fee,unrelated,not a spelling pair
choc,chocolate,unrelated,not a spelling pair
adaptor,adapter,variant,the variant column is the nonstandard spelling
aeon,eon,variant,the variant column is the nonstandard spelling
maneuverability,manoeuvrability,reverse,the canonical column is the nonstandard spelling
karat,carat,variant,the variant column is the nonstandard spelling
saree,sari,variant,the variant column is the nonstandard spelling
verandah,veranda,variant,the variant column is the nonstandard spelling
omelet,omelette,reverse,the canonical column is the nonstandard spelling
checkbook,chequebook,variant,the variant column is the nonstandard spelling
masque,mask,unrelated,not a spelling pair
broach,brooch,unrelated,not a spelling pair
nog,noggin,unrelated,not a spelling pair
glycerin,glycerine,variant,the variant column is the nonstandard spelling
chamomile,camomile,reverse,the canonical column is the nonstandard spelling
kerb,curb,variant,the variant column is the nonstandard spelling
chink,kink,unrelated,not a spelling pair
etiology,aetiology,reverse,the canonical column is the nonstandard spelling
narc,nark,unrelated,not a spelling pair
monger,whoremonger,unrelated,not a spelling pair
louse,loose,unrelated,not a spelling pair
cristal,crystal,variant,the variant column is the nonstandard spelling
aum,om,variant,the variant column is the nonstandard spelling
caddie,caddy,unrelated,not a spelling pair
sulphate,sulfate,variant,the variant column is the nonstandard spelling
confidante,confidant,unrelated,not a spelling pair
burka,burqa,variant,the variant column is the nonstandard spelling
jodhpur,jodhpurs,plural,"one side is a plural of the other, not a spelling variant"
synchro,synchromesh,unrelated,not a spelling pair
sone,son,unrelated,not a spelling pair
specialisation,specialization,variant,the variant column is the nonstandard spelling
bazar,bazaar,variant,the variant column is the nonstandard spelling
lav,lavatory,unrelated,not a spelling pair
crozier,crosier,variant,the variant column is the nonstandard spelling
maxillary,maxilla,unrelated,adjective vs bone; not a spelling pair
nosey,nosy,variant,the variant column is the nonstandard spelling
juggler,jugular,unrelated,not a spelling pair
glazer,glazier,unrelated,not a spelling pair
kola,cola,unrelated,not a spelling pair
fertilisation,fertilization,variant,the variant column is the nonstandard spelling
draftsman,draughtsman,reverse,the canonical column is the nonstandard spelling
visualisation,visualization,variant,the variant column is the nonstandard spelling
lasagne,lasagna,unrelated,not a spelling pair
haj,hajj,variant,the variant column is the nonstandard spelling
polarisation,polarization,variant,the variant column is the nonstandard spelling
boogeyman,bogeyman,variant,the variant column is the nonstandard spelling
mongo,mongoloid,unrelated,not a spelling pair
travail,travel,unrelated,not a spelling pair
annexe,annex,variant,the variant column is the nonstandard spelling
anaemia,anemia,variant,the variant column is the nonstandard spelling
uke,ukulele,unrelated,not a spelling pair
rime,rhyme,unrelated,not a spelling pair
standardisation,standardization,variant,the variant column is the nonstandard spelling
sceptic,skeptic,variant,the variant column is the nonstandard spelling
pica,pika,unrelated,not a spelling pair
canna,cannabis,unrelated,not a spelling pair
cress,kris,unrelated,not a spelling pair
minx,mink,unrelated,not a spelling pair
whizz,whiz,variant,the variant column is the nonstandard spelling
gynaecology,gynecology,variant,the variant column is the nonstandard spelling
tricolor,tricolour,reverse,the canonical column is the nonstandard spelling
torr,tor,unrelated,a pressure unit vs a rocky hill; unrelated
ameer,emir,variant,the variant column is the nonstandard spelling
duffle,duffel,variant,the variant column is the nonstandard spelling
conceptualization,conceptualisation,reverse,the canonical column is the nonstandard spelling
pud,pood,unrelated,not a spelling pair
connexion,connection,variant,the variant column is the nonstandard spelling
soph,sophomore,unrelated,not a spelling pair
immunisation,immunization,variant,the variant column is the nonstandard spelling
bogie,bogey,unrelated,not a spelling pair
candour,candor,variant,the variant column is the nonstandard spelling
cesium,caesium,reverse,the canonical column is the nonstandard spelling
horsey,horsy,variant,the variant column is the nonstandard spelling
localisation,localization,variant,the variant column is the nonstandard spelling
lacklustre,lackluster,variant,the variant column is the nonstandard spelling
kiddy,kiddie,unrelated,not a spelling pair
weft,waif,unrelated,not a spelling pair
ikon,icon,variant,the variant column is the nonstandard spelling
paediatrics,pediatrics,variant,the variant column is the nonstandard spelling
colter,coulter,reverse,the canonical column is the nonstandard spelling
dray,drey,unrelated,not a spelling pair
chon,jun,variant,the variant column is the nonstandard spelling
gild,guild,variant,the variant column is the nonstandard spelling
decentralisation,decentralization,variant,the variant column is the nonstandard spelling
fosse,fossa,unrelated,not a spelling pair
junky,junkie,variant,the variant column is the nonstandard spelling
archeologist,archaeologist,reverse,the canonical column is the nonstandard spelling
pitta,pita,variant,the variant column is the nonstandard spelling
nitroglycerin,nitroglycerine,variant,the variant column is the nonstandard spelling
fuze,fuse,unrelated,not a spelling pair
pacha,pasha,variant,the variant column is the nonstandard spelling
hemophilia,haemophilia,reverse,the canonical column is the nonstandard spelling
avo,avocado,unrelated,not a spelling pair
oestrogen,estrogen,variant,the variant column is the nonstandard spelling
panto,pantomime,unrelated,not a spelling pair
commercialisation,commercialization,variant,the variant column is the nonstandard spelling
gynaecologist,gynecologist,variant,the variant column is the nonstandard spelling
wain,wean,unrelated,not a spelling pair
bole,boll,unrelated,not a spelling pair
heckle,hackle,unrelated,heckle is the ordinary verb/noun; hackle is a separate word
reticle,reticule,unrelated,not a spelling pair
stile,style,unrelated,not a spelling pair
serjeant,sergeant,variant,the variant column is the nonstandard spelling
sedge,siege,unrelated,not a spelling pair
sterilisation,sterilization,variant,the variant column is the nonstandard spelling
dietician,dietitian,variant,the variant column is the nonstandard spelling
miter,mitre,reverse,the canonical column is the nonstandard spelling
nanometer,nanometre,reverse,the canonical column is the nonstandard spelling
toilette,toilet,variant,the variant column is the nonstandard spelling
bicyclist,cyclist,variant,the variant column is the nonstandard spelling
descendent,descendant,variant,the variant column is the nonstandard spelling
humus,hummus,unrelated,not a spelling pair
rationalisation,rationalization,variant,the variant column is the nonstandard spelling
gargle,gargoyle,unrelated,not a spelling pair
griffon,griffin,variant,the variant column is the nonstandard spelling
sulphide,sulfide,variant,the variant column is the nonstandard spelling
molt,moult,reverse,the canonical column is the nonstandard spelling
kiley,kylie,variant,the variant column is the nonstandard spelling
centralisation,centralization,variant,the variant column is the nonstandard spelling
furore,furor,variant,the variant column is the nonstandard spelling
phantasy,fantasy,variant,the variant column is the nonstandard spelling
brier,briar,variant,the variant column is the nonstandard spelling
moolah,mullah,unrelated,money vs a Muslim cleric; unrelated
britches,breeches,variant,the variant column is the nonstandard spelling
softie,softy,unrelated,not a spelling pair
weeb,weeaboo,unrelated,not a spelling pair
cassino,casino,variant,the variant column is the nonstandard spelling
partizan,partisan,variant,the variant column is the nonstandard spelling
glamor,glamour,reverse,the canonical column is the nonstandard spelling
tabu,taboo,variant,the variant column is the nonstandard spelling
gelatine,gelatin,variant,the variant column is the nonstandard spelling
gramma,grama,unrelated,not a spelling pair
apse,apsis,unrelated,not a spelling pair
punky,punkie,variant,the variant column is the nonstandard spelling
sentience,sentence,unrelated,not a spelling pair
antic,antique,unrelated,not a spelling pair
tare,tara,unrelated,not a spelling pair
eyeglass,eyeglasses,plural,"one side is a plural of the other, not a spelling variant"
rigger,outrigger,unrelated,not a spelling pair
bandanna,bandana,variant,the variant column is the nonstandard spelling
ratan,rattan,variant,the variant column is the nonstandard spelling
herm,hermaphrodite,unrelated,not a spelling pair
orthopaedics,orthopedics,variant,the variant column is the nonstandard spelling
atar,attar,variant,the variant column is the nonstandard spelling
ern,erne,variant,the variant column is the nonstandard spelling
micrometer,micrometre,reverse,the canonical column is the nonstandard spelling
beano,bingo,unrelated,not a spelling pair
normalisation,normalization,variant,the variant column is the nonstandard spelling
schtick,shtick,variant,the variant column is the nonstandard spelling
meany,meanie,variant,the variant column is the nonstandard spelling
handmaiden,handmaid,variant,the variant column is the nonstandard spelling
telfer,telpher,variant,the variant column is the nonstandard spelling
palaeontology,paleontology,variant,the variant column is the nonstandard spelling
mudder,mother,unrelated,not a spelling pair
scull,skull,unrelated,not a spelling pair
synchronisation,synchronization,variant,the variant column is the nonstandard spelling
swathe,swath,unrelated,not a spelling pair
arak,arrack,unrelated,not a spelling pair
caulk,calk,unrelated,not a spelling pair
thruway,throughway,variant,the variant column is the nonstandard spelling
lense,lens,variant,the variant column is the nonstandard spelling
fount,font,unrelated,not a spelling pair
haemoglobin,hemoglobin,variant,the variant column is the nonstandard spelling
maharajah,maharaja,variant,the variant column is the nonstandard spelling
mollusk,mollusc,reverse,the canonical column is the nonstandard spelling
consignor,consigner,variant,the variant column is the nonstandard spelling
sett,set,unrelated,not a spelling pair
manilla,manila,unrelated,not a spelling pair
challis,chalice,unrelated,not a spelling pair
waggoner,wagoner,variant,the variant column is the nonstandard spelling
lats,lat,plural,lats is the plural of the muscle sense
categorisation,categorization,variant,the variant column is the nonstandard spelling
umma,ummah,variant,the variant column is the nonstandard spelling
nuna,noona,variant,the variant column is the nonstandard spelling
soh,so,variant,the variant column is the nonstandard spelling
blather,bladder,unrelated,not a spelling pair
paediatrician,pediatrician,variant,the variant column is the nonstandard spelling
democratisation,democratization,variant,the variant column is the nonstandard spelling
ulama,ulema,unrelated,not a spelling pair
synesthesia,synaesthesia,reverse,the canonical column is the nonstandard spelling
dolor,dolour,reverse,the canonical column is the nonstandard spelling
bootie,bootee,variant,the variant column is the nonstandard spelling
fug,fuck,unrelated,not a spelling pair
diam,diameter,unrelated,not a spelling pair
racoon,raccoon,variant,the variant column is the nonstandard spelling
repellant,repellent,variant,the variant column is the nonstandard spelling
socialisation,socialization,variant,the variant column is the nonstandard spelling
hadji,hajji,variant,the variant column is the nonstandard spelling
anaesthetist,anesthetist,variant,the variant column is the nonstandard spelling
quire,choir,unrelated,not a spelling pair
kail,kale,variant,the variant column is the nonstandard spelling
hospitalisation,hospitalization,variant,the variant column is the nonstandard spelling
haft,heft,unrelated,not a spelling pair
affaire,affair,variant,the variant column is the nonstandard spelling
misdemeanour,misdemeanor,variant,the variant column is the nonstandard spelling
victimisation,victimization,variant,the variant column is the nonstandard spelling
eonni,unnie,variant,the variant column is the nonstandard spelling
khadi,khaddar,variant,the variant column is the nonstandard spelling
pappa,papa,variant,the variant column is the nonstandard spelling
gryphon,griffin,variant,the variant column is the nonstandard spelling
lupine,lupin,unrelated,not a spelling pair
misbehaviour,misbehavior,variant,the variant column is the nonstandard spelling
mezcal,mescal,variant,the variant column is the nonstandard spelling
analyser,analyzer,variant,the variant column is the nonstandard spelling
confectionary,confectionery,unrelated,not a spelling pair
marginalisation,marginalization,variant,the variant column is the nonstandard spelling
digitisation,digitization,variant,the variant column is the nonstandard spelling
gilder,guilder,unrelated,not a spelling pair
esthetics,aesthetics,reverse,the canonical column is the nonstandard spelling
transexual,transsexual,variant,the variant column is the nonstandard spelling
gonorrhoea,gonorrhea,variant,the variant column is the nonstandard spelling
equalisation,equalization,variant,the variant column is the nonstandard spelling
worshiper,worshipper,variant,the variant column is the nonstandard spelling
brigantine,brigandine,unrelated,not a spelling pair
encumbrance,incumbrance,reverse,the canonical column is the nonstandard spelling
marihuana,marijuana,variant,the variant column is the nonstandard spelling
sunglass,sunglasses,plural,"one side is a plural of the other, not a spelling variant"
criterium,criterion,unrelated,not a spelling pair
aneurism,aneurysm,variant,the variant column is the nonstandard spelling
colouration,coloration,variant,the variant column is the nonstandard spelling
stabiliser,stabilizer,variant,the variant column is the nonstandard spelling
aerie,eyrie,reverse,the canonical column is the nonstandard spelling
tipi,teepee,variant,the variant column is the nonstandard spelling
buncombe,bunkum,variant,the variant column is the nonstandard spelling
pasteurization,pasteurisation,reverse,the canonical column is the nonstandard spelling
bourn,bourne,variant,the variant column is the nonstandard spelling
oedema,edema,variant,the variant column is the nonstandard spelling
carburettor,carburetor,variant,the variant column is the nonstandard spelling
rozelle,roselle,variant,the variant column is the nonstandard spelling
lath,lat,unrelated,not a spelling pair
rouble,ruble,variant,the variant column is the nonstandard spelling
internationalisation,internationalization,variant,the variant column is the nonstandard spelling
rancour,rancor,variant,the variant column is the nonstandard spelling
succor,succour,reverse,the canonical column is the nonstandard spelling
salwar,shalwar,variant,the variant column is the nonstandard spelling
milliliter,millilitre,reverse,the canonical column is the nonstandard spelling
hame,home,unrelated,not a spelling pair
sympathiser,sympathizer,variant,the variant column is the nonstandard spelling
septicaemia,septicemia,variant,the variant column is the nonstandard spelling
atheneum,athenaeum,reverse,the canonical column is the nonstandard spelling
peavey,peavy,variant,the variant column is the nonstandard spelling
tendonitis,tendinitis,variant,the variant column is the nonstandard spelling
boule,buhl,unrelated,not a spelling pair
maser,mazer,unrelated,not a spelling pair
hooman,human,unrelated,not a spelling pair
palaeontologist,paleontologist,variant,the variant column is the nonstandard spelling
tach,tachometer,unrelated,not a spelling pair
demonetisation,demonetization,variant,the variant column is the nonstandard spelling
kine,kinescope,unrelated,not a spelling pair
gamedev,game,unrelated,"a compound clipping, not a spelling of ""game"""
piquet,picket,unrelated,not a spelling pair
tawney,tawny,variant,the variant column is the nonstandard spelling
baulk,balk,variant,the variant column is the nonstandard spelling
minimisation,minimization,variant,the variant column is the nonstandard spelling
damascene,damson,unrelated,damascene metalwork vs the plum; unrelated
flutist,flautist,variant,the variant column is the nonstandard spelling
saltpeter,saltpetre,reverse,the canonical column is the nonstandard spelling
chukka,chukker,unrelated,not a spelling pair
mumma,mama,variant,the variant column is the nonstandard spelling
waggon,wagon,variant,the variant column is the nonstandard spelling
riband,ribbon,variant,the variant column is the nonstandard spelling
sylva,silva,variant,the variant column is the nonstandard spelling
derma,dermatologist,unrelated,not a spelling pair
naturalisation,naturalization,variant,the variant column is the nonstandard spelling
kasbah,casbah,variant,the variant column is the nonstandard spelling
wog,polliwog,unrelated,not a spelling pair
pendent,pendant,variant,the variant column is the nonstandard spelling
revitalisation,revitalization,variant,the variant column is the nonstandard spelling
decriminalisation,decriminalization,variant,the variant column is the nonstandard spelling
mechanisation,mechanization,variant,the variant column is the nonstandard spelling
carrell,carrel,variant,the variant column is the nonstandard spelling
cyclopedia,cyclopaedia,reverse,the canonical column is the nonstandard spelling
finalization,finalisation,reverse,the canonical column is the nonstandard spelling
disfavor,disfavour,reverse,the canonical column is the nonstandard spelling
discolouration,discoloration,variant,the variant column is the nonstandard spelling
loonie,loony,unrelated,not a spelling pair
jailor,jailer,variant,the variant column is the nonstandard spelling
salable,saleable,variant,the variant column is the nonstandard spelling
briony,bryony,variant,the variant column is the nonstandard spelling
goiter,goitre,reverse,the canonical column is the nonstandard spelling
hullo,hello,variant,the variant column is the nonstandard spelling
carrel,carol,unrelated,a study desk and a song; not spellings of each other
amuck,amok,variant,the variant column is the nonstandard spelling
macaroon,macaron,unrelated,not a spelling pair
curtsy,curtsey,variant,the variant column is the nonstandard spelling
darter,daughter,unrelated,not a spelling pair
syphon,siphon,variant,the variant column is the nonstandard spelling
ocher,ochre,reverse,the canonical column is the nonstandard spelling
whir,whirr,variant,the variant column is the nonstandard spelling
extraversion,extroversion,variant,the variant column is the nonstandard spelling
faery,fairy,variant,the variant column is the nonstandard spelling
conveyer,conveyor,variant,the variant column is the nonstandard spelling
criminalisation,criminalization,variant,the variant column is the nonstandard spelling
tepee,teepee,variant,the variant column is the nonstandard spelling
modeller,modeler,variant,the variant column is the nonstandard spelling
hybridisation,hybridization,variant,the variant column is the nonstandard spelling
sonography,ultrasonography,unrelated,not a spelling pair
guilder,gilder,unrelated,not a spelling pair
cozier,cosier,variant,the variant column is the nonstandard spelling
pavan,pavane,variant,the variant column is the nonstandard spelling
chaw,cha,unrelated,not a spelling pair
saman,zaman,unrelated,not a spelling pair
tiro,tyro,variant,the variant column is the nonstandard spelling
forbear,forebear,variant,the variant column is the nonstandard spelling
estrus,oestrus,reverse,the canonical column is the nonstandard spelling
floatation,flotation,variant,the variant column is the nonstandard spelling
ionisation,ionization,variant,the variant column is the nonstandard spelling
ascendency,ascendancy,variant,the variant column is the nonstandard spelling
lynchpin,linchpin,variant,the variant column is the nonstandard spelling
archaeopteryx,archeopteryx,variant,the variant column is the nonstandard spelling
tole,toll,unrelated,not a spelling pair
jujutsu,jujitsu,variant,the variant column is the nonstandard spelling
jessamine,jasmine,variant,the variant column is the nonstandard spelling
fagot,faggot,variant,the variant column is the nonstandard spelling
merl,merle,variant,the variant column is the nonstandard spelling
khalif,caliph,variant,the variant column is the nonstandard spelling
tatu,tattoo,variant,the variant column is the nonstandard spelling
khi,chi,variant,the variant column is the nonstandard spelling
soja,soya,variant,the variant column is the nonstandard spelling
hypoglycaemia,hypoglycemia,variant,the variant column is the nonstandard spelling
confab,confabulation,unrelated,not a spelling pair
baldrick,baldric,variant,the variant column is the nonstandard spelling
paramedical,paramedic,unrelated,adjective vs person; not a spelling pair
monetisation,monetization,variant,the variant column is the nonstandard spelling
sepulcher,sepulchre,reverse,the canonical column is the nonstandard spelling
rubel,ruble,variant,the variant column is the nonstandard spelling
cooly,coolie,variant,the variant column is the nonstandard spelling
flunky,flunkey,unrelated,not a spelling pair
grannie,granny,variant,the variant column is the nonstandard spelling
decolonisation,decolonization,variant,the variant column is the nonstandard spelling
caplin,capelin,variant,the variant column is the nonstandard spelling
royster,roister,variant,the variant column is the nonstandard spelling
jemmy,jimmy,unrelated,not a spelling pair
clime,climb,unrelated,not a spelling pair
cocoanut,coconut,variant,the variant column is the nonstandard spelling
carrousel,carousel,variant,the variant column is the nonstandard spelling
womaniser,womanizer,variant,the variant column is the nonstandard spelling
camelia,camellia,variant,the variant column is the nonstandard spelling
dramatisation,dramatization,variant,the variant column is the nonstandard spelling
caftan,kaftan,variant,the variant column is the nonstandard spelling
abridgement,abridgment,variant,the variant column is the nonstandard spelling
kauri,cowrie,unrelated,not a spelling pair
esthetician,aesthetician,reverse,the canonical column is the nonstandard spelling
burthen,burden,variant,the variant column is the nonstandard spelling
cooky,cookie,variant,the variant column is the nonstandard spelling
pallette,palette,variant,the variant column is the nonstandard spelling
stanch,staunch,variant,the variant column is the nonstandard spelling
virtu,vertu,variant,the variant column is the nonstandard spelling
baptistery,baptistry,variant,the variant column is the nonstandard spelling
amortisation,amortization,variant,the variant column is the nonstandard spelling
missis,missus,variant,the variant column is the nonstandard spelling
canonisation,canonization,variant,the variant column is the nonstandard spelling
dentine,dentin,variant,the variant column is the nonstandard spelling
spick,spic,variant,the variant column is the nonstandard spelling
inflator,inflater,variant,the variant column is the nonstandard spelling
charr,char,variant,the variant column is the nonstandard spelling
resister,resistor,variant,the variant column is the nonstandard spelling
synthesiser,synthesizer,variant,the variant column is the nonstandard spelling
largess,largesse,variant,the variant column is the nonstandard spelling
veldt,veld,variant,the variant column is the nonstandard spelling
coziness,cosiness,reverse,the canonical column is the nonstandard spelling
taira,tayra,variant,the variant column is the nonstandard spelling
manikin,mannequin,unrelated,not a spelling pair
homoeopathy,homeopathy,variant,the variant column is the nonstandard spelling
mujahedin,mujahideen,variant,the variant column is the nonstandard spelling
sherbert,sherbet,variant,the variant column is the nonstandard spelling
matzah,matzo,variant,the variant column is the nonstandard spelling
leveler,leveller,variant,the variant column is the nonstandard spelling
klick,click,unrelated,not a spelling pair
goodby,goodbye,variant,the variant column is the nonstandard spelling
conk,conch,unrelated,not a spelling pair
pedlar,peddler,variant,the variant column is the nonstandard spelling
demobilisation,demobilization,variant,the variant column is the nonstandard spelling
bosun,boatswain,variant,the variant column is the nonstandard spelling
pouf,puff,unrelated,not a spelling pair
kabob,kebab,reverse,the canonical column is the nonstandard spelling
dowse,douse,variant,the variant column is the nonstandard spelling
doxy,doxycycline,unrelated,not a spelling pair
frangipani,frangipane,unrelated,not a spelling pair
valse,waltz,variant,the variant column is the nonstandard spelling
hadj,hajj,variant,the variant column is the nonstandard spelling
fiord,fjord,variant,the variant column is the nonstandard spelling
fice,feist,variant,the variant column is the nonstandard spelling
linguini,linguine,variant,the variant column is the nonstandard spelling
selvedge,selvage,variant,the variant column is the nonstandard spelling
sampan,jampan,unrelated,not a spelling pair
vender,vendor,variant,the variant column is the nonstandard spelling
interne,intern,variant,the variant column is the nonstandard spelling
catsup,ketchup,variant,the variant column is the nonstandard spelling
qat,khat,variant,the variant column is the nonstandard spelling
tympani,timpani,variant,the variant column is the nonstandard spelling
amenorrhea,amenorrhoea,reverse,the canonical column is the nonstandard spelling
clew,clue,unrelated,not a spelling pair
tzar,tsar,variant,the variant column is the nonstandard spelling
spiff,spliff,unrelated,not a spelling pair
lodgement,lodgment,variant,the variant column is the nonstandard spelling
meq,milliequivalent,unrelated,not a spelling pair
spirt,spurt,variant,the variant column is the nonstandard spelling
stye,sty,unrelated,not a spelling pair
litchi,lychee,variant,the variant column is the nonstandard spelling
jiujitsu,jujitsu,variant,the variant column is the nonstandard spelling
ploughman,plowman,variant,the variant column is the nonstandard spelling
darkie,darkey,variant,the variant column is the nonstandard spelling
nones,noon,unrelated,not a spelling pair
yack,yak,variant,the variant column is the nonstandard spelling
valency,valence,variant,the variant column is the nonstandard spelling
crape,crepe,variant,the variant column is the nonstandard spelling
thiamin,thiamine,variant,the variant column is the nonstandard spelling
medivac,medevac,variant,the variant column is the nonstandard spelling
ghillie,gillie,unrelated,not a spelling pair
kindergartener,kindergartner,variant,the variant column is the nonstandard spelling
dhal,dal,variant,the variant column is the nonstandard spelling
crystallisation,crystallization,variant,the variant column is the nonstandard spelling
whacko,wacko,variant,the variant column is the nonstandard spelling
quaff,coif,unrelated,not a spelling pair
reflexion,reflection,variant,the variant column is the nonstandard spelling
broncho,bronco,variant,the variant column is the nonstandard spelling
militarisation,militarization,variant,the variant column is the nonstandard spelling
straightjacket,straitjacket,variant,the variant column is the nonstandard spelling
behaviourist,behaviorist,variant,the variant column is the nonstandard spelling
skullduggery,skulduggery,reverse,the canonical column is the nonstandard spelling
cecum,caecum,reverse,the canonical column is the nonstandard spelling
floozy,floozie,variant,the variant column is the nonstandard spelling
cocain,cocaine,variant,the variant column is the nonstandard spelling
czarina,tsarina,variant,the variant column is the nonstandard spelling
pixy,pixie,variant,the variant column is the nonstandard spelling
quicky,quickie,variant,the variant column is the nonstandard spelling
destabilisation,destabilization,variant,the variant column is the nonstandard spelling
secularisation,secularization,variant,the variant column is the nonstandard spelling
pharmacopeia,pharmacopoeia,reverse,the canonical column is the nonstandard spelling
rheum,rheumatologist,unrelated,not a spelling pair
distention,distension,variant,the variant column is the nonstandard spelling
swop,swap,variant,the variant column is the nonstandard spelling
chimaera,chimera,variant,the variant column is the nonstandard spelling
gingko,ginkgo,variant,the variant column is the nonstandard spelling
hankie,hanky,variant,the variant column is the nonstandard spelling
mizen,mizzen,variant,the variant column is the nonstandard spelling
belieber,believer,unrelated,"fandom coinage, not a spelling of believer"
aerofoil,airfoil,variant,the variant column is the nonstandard spelling
benni,benne,variant,the variant column is the nonstandard spelling
disfunction,dysfunction,variant,the variant column is the nonstandard spelling
caldron,cauldron,variant,the variant column is the nonstandard spelling
hinderance,hindrance,variant,the variant column is the nonstandard spelling
frier,fryer,variant,the variant column is the nonstandard spelling
rhumba,rumba,variant,the variant column is the nonstandard spelling
frangipane,frangipani,unrelated,not a spelling pair
bunko,bunco,variant,the variant column is the nonstandard spelling
yobo,yobbo,variant,the variant column is the nonstandard spelling
mortgagor,mortgager,variant,the variant column is the nonstandard spelling
inclosure,enclosure,variant,the variant column is the nonstandard spelling
carcase,carcass,variant,the variant column is the nonstandard spelling
serialisation,serialization,variant,the variant column is the nonstandard spelling
boulle,buhl,variant,the variant column is the nonstandard spelling
shirtsleeves,shirt,unrelated,not a spelling pair
distributer,distributor,variant,the variant column is the nonstandard spelling
scaup,scalp,unrelated,not a spelling pair
facia,fascia,variant,the variant column is the nonstandard spelling
signior,signore,variant,the variant column is the nonstandard spelling
teetotaller,teetotaler,variant,the variant column is the nonstandard spelling
axilla,axil,unrelated,not a spelling pair
souse,source,unrelated,not a spelling pair
milage,mileage,variant,the variant column is the nonstandard spelling
polymerisation,polymerization,variant,the variant column is the nonstandard spelling
summerset,somersault,variant,the variant column is the nonstandard spelling
molder,moulder,reverse,the canonical column is the nonstandard spelling
papaw,pawpaw,variant,the variant column is the nonstandard spelling
smoulder,smolder,unrelated,not a spelling pair
darky,darkey,variant,the variant column is the nonstandard spelling
zombi,zombie,variant,the variant column is the nonstandard spelling
dependance,dependence,variant,the variant column is the nonstandard spelling
propellor,propeller,variant,the variant column is the nonstandard spelling
pigmy,pygmy,variant,the variant column is the nonstandard spelling
mujahedeen,mujahideen,variant,the variant column is the nonstandard spelling
madrasah,madrasa,variant,the variant column is the nonstandard spelling
aggrandisement,aggrandizement,variant,the variant column is the nonstandard spelling
armourer,armorer,variant,the variant column is the nonstandard spelling
adz,adze,variant,the variant column is the nonstandard spelling
fellah,fella,unrelated,not a spelling pair
baboo,babu,variant,the variant column is the nonstandard spelling
dreadnaught,dreadnought,variant,the variant column is the nonstandard spelling
tike,tyke,variant,the variant column is the nonstandard spelling
widgeon,wigeon,variant,the variant column is the nonstandard spelling
khalifah,caliph,variant,the variant column is the nonstandard spelling
yeshivah,yeshiva,variant,the variant column is the nonstandard spelling
tranquilliser,tranquilizer,unrelated,not a spelling pair
disorganisation,disorganization,variant,the variant column is the nonstandard spelling
quat,khat,unrelated,not a spelling pair
desalinization,desalinisation,reverse,the canonical column is the nonstandard spelling
polychaete,polychete,variant,the variant column is the nonstandard spelling
jook,juke,unrelated,not a spelling pair
sensitisation,sensitization,variant,the variant column is the nonstandard spelling
moong,mung,variant,the variant column is the nonstandard spelling
conjuror,conjurer,variant,the variant column is the nonstandard spelling
digitalisation,digitalization,variant,the variant column is the nonstandard spelling
professionalisation,professionalization,variant,the variant column is the nonstandard spelling
chiasm,chiasma,variant,the variant column is the nonstandard spelling
demonisation,demonization,variant,the variant column is the nonstandard spelling
crocket,croquette,unrelated,not a spelling pair
stockinette,stockinet,variant,the variant column is the nonstandard spelling
plier,pliers,plural,"one side is a plural of the other, not a spelling variant"
mavin,maven,variant,the variant column is the nonstandard spelling
maximisation,maximization,variant,the variant column is the nonstandard spelling
internalisation,internalization,variant,the variant column is the nonstandard spelling
collectivisation,collectivization,variant,the variant column is the nonstandard spelling
nonsuch,nonesuch,variant,the variant column is the nonstandard spelling
inflexion,inflection,variant,the variant column is the nonstandard spelling
gaoler,jailer,variant,the variant column is the nonstandard spelling
nark,narc,unrelated,not a spelling pair
stigmatisation,stigmatization,variant,the variant column is the nonstandard spelling
familiarisation,familiarization,variant,the variant column is the nonstandard spelling
tercel,tiercel,variant,the variant column is the nonstandard spelling
gramme,gram,variant,the variant column is the nonstandard spelling
convertor,converter,variant,the variant column is the nonstandard spelling
mynah,myna,variant,the variant column is the nonstandard spelling
salade,sallet,variant,the variant column is the nonstandard spelling
deciliter,decilitre,reverse,the canonical column is the nonstandard spelling
conservativism,conservatism,variant,the variant column is the nonstandard spelling
letch,leach,unrelated,not a spelling pair
chequer,checker,unrelated,not a spelling pair
memorisation,memorization,variant,the variant column is the nonstandard spelling
tamal,tamale,variant,the variant column is the nonstandard spelling
arrack,arak,unrelated,not a spelling pair
immobilisation,immobilization,variant,the variant column is the nonstandard spelling
popularisation,popularization,variant,the variant column is the nonstandard spelling
numberplate,plate,unrelated,not a spelling pair
hyaena,hyena,variant,the variant column is the nonstandard spelling
delf,delft,unrelated,not a spelling pair
hotchpotch,hodgepodge,unrelated,not a spelling pair
calk,caulk,unrelated,not a spelling pair
hoagy,hoagie,variant,the variant column is the nonstandard spelling
willfulness,wilfulness,variant,the variant column is the nonstandard spelling
halm,haulm,variant,the variant column is the nonstandard spelling
cannister,canister,variant,the variant column is the nonstandard spelling
appetiser,appetizer,variant,the variant column is the nonstandard spelling
