noun,zipf,tier,senses,lexfile,register,domain,in_wn30,also_proper_noun,recommended,excluded_because,definition
nervus,1.34,RARE,1,noun.body,MED,,True,False,False,not in Wiktionary,any bundle of nerve fibers running to various organs and tissues of the body
dkm,1.33,RARE,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,a metric unit of length equal to ten meters
mrem,1.33,RARE,1,noun.quantity,GENERAL,,False,False,False,not in Wiktionary,a dosage of ionizing radiation equivalent to one thousandth (1/1000) of a rem
maraud,1.31,RARE,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,a sudden short attack
adducing,1.3,RARE,1,noun.communication,GENERAL,,True,False,False,not in Wiktionary,citing as evidence or proof
superbia,1.3,RARE,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,unreasonable and inordinate self-esteem (personified as one of the deadly sins)
unfastening,1.3,RARE,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,loosening the ties that fasten something
eighter,1.28,RARE,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,the cardinal number that is the sum of seven and one
jamberry,1.28,RARE,2,noun.plant,BIO,,True,False,False,not in Wiktionary,Mexican annual naturalized in eastern North America having yellow to purple edible fruit resembling small tomatoes
melilotus,1.27,RARE,1,noun.plant,BIO,,True,False,False,not in Wiktionary,erect annual or biennial plant grown extensively especially for hay and soil improvement
stoneface,1.27,RARE,1,noun.plant,BIO,,True,False,False,not in Wiktionary,any plant of the genus Lithops native to Africa having solitary yellow or white flowers and thick leaves that resemble stones
subtweeting,1.27,RARE,1,noun.act,GENERAL,,False,False,False,not in Wiktionary,the act of tweeting without tagging a user so that they will not see the post
asdic,1.26,RARE,1,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,a measuring instrument that sends out an acoustic pulse in water and measures distances in terms of the time for the echo of the pulse to return
qabalah,1.26,RARE,1,noun.communication,GENERAL,,True,False,False,not in Wiktionary,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
dalo,1.25,RARE,1,noun.plant,BIO,,True,False,False,not in Wiktionary,herb of the Pacific islands grown throughout the tropics for its edible root and in temperate areas as an ornamental for its large glossy leaves
eriogonum,1.25,RARE,1,noun.plant,BIO,,True,False,False,not in Wiktionary,any plant of the genus Eriogonum with small clustered flowers
salaat,1.25,RARE,1,noun.cognition,GENERAL,,True,False,False,not in Wiktionary,the second pillar of Islam is prayer; a prescribed liturgy performed five times a day (preferably in a mosque) and oriented toward Mecca
vasoconstrictive,1.25,RARE,1,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,any agent that causes a narrowing of an opening of a blood vessel: cold or stress or nicotine or epinephrine or norepinephrine or angiotensin or vasopressin or certain drugs; maintains or increases blood pressure
vesuvian,1.25,RARE,1,noun.substance,GENERAL,,True,False,False,not in Wiktionary,a green or yellow or brown mineral consisting of a hydrated silicate; it occurs as crystals in limestone and is used a gemstone
bearwood,1.24,RARE,1,noun.plant,BIO,,True,False,False,not in Wiktionary,shrubby tree of the Pacific coast of the United States; yields cascara sagrada
humous,1.24,RARE,1,noun.food,GENERAL,,True,False,False,not in Wiktionary,"a thick spread made from mashed chickpeas, tahini, lemon juice and garlic; used especially as a dip for pita; originated in the Middle East"
pizzaz,1.24,RARE,1,noun.attribute,GENERAL,,True,False,False,not in Wiktionary,the activeness of an energetic personality
veloute,1.24,RARE,1,noun.food,GENERAL,,True,False,False,not in Wiktionary,white sauce made with stock instead of milk
bivouacking,1.23,RARE,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of encamping and living in tents in a camp
seckel,1.23,RARE,1,noun.food,GENERAL,,True,False,False,not in Wiktionary,small yellowish- to reddish-brown pear
utahraptor,1.23,RARE,1,noun.animal,BIO,,True,False,False,not in Wiktionary,large (20-ft) and swift carnivorous dinosaur having an upright slashing claw 15 inches long on each hind foot; early Cretaceous
jnd,1.22,RARE,1,noun.cognition,TEC,psychophysics,True,False,False,not in Wiktionary,(psychophysics) the difference between two stimuli that (under properly controlled experimental conditions) is detected as often as it is undetected
chunga,1.21,RARE,1,noun.animal,BIO,,True,False,False,not in Wiktionary,Argentinian Cariama
egalite,1.21,RARE,1,noun.state,GENERAL,,True,False,False,not in Wiktionary,social and political equality
fascista,1.19,RARE,1,noun.person,GENERAL,,True,False,False,not in Wiktionary,an Italian fascist under Mussolini
sensitising,1.19,RARE,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,rendering an organism sensitive to a serum by a series of injections
amorphophallus,1.17,RARE,1,noun.plant,BIO,,True,False,False,not in Wiktionary,any plant of the genus Amorphophallus
duette,1.17,RARE,2,noun.group,GENERAL,,True,False,False,not in Wiktionary,two performers or singers who perform together
reseau,1.17,RARE,2,noun.artifact,GENERAL,,True,False,False,not in Wiktionary,a net or mesh foundation for lace
sovietism,1.16,RARE,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,Soviet communism
balagan,1.15,RARE,1,noun.state,GENERAL,,True,False,False,not in Wiktionary,a word for chaos or fiasco borrowed from modern Hebrew (where it is a loan word from Russian)
feathertop,1.15,RARE,2,noun.plant,BIO,,True,False,False,not in Wiktionary,northeastern tropical African plant having feathery panicles
hedgefund,1.15,RARE,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,a flexible investment company for a small number of large investors (usually the minimum investment is $1 million); can use high-risk techniques (not allowed for mutual funds) such as short-selling and heavy leveraging
komondor,1.14,RARE,1,noun.animal,BIO,,True,False,False,not in Wiktionary,Hungarian breed of large powerful shaggy-coated white dog; used also as guard dog
protoceratops,1.14,RARE,1,noun.animal,BIO,,True,False,False,not in Wiktionary,small horned dinosaur
chanal,1.12,RARE,1,noun.plant,BIO,,True,False,False,not in Wiktionary,thorny shrub or small tree common in central Argentina having small orange or yellow flowers followed by edible berries
deinocheirus,1.12,RARE,1,noun.animal,BIO,,True,False,False,not in Wiktionary,lightly built medium-sized theropod with long limbs and neck
hovea,1.12,RARE,1,noun.plant,BIO,,True,False,False,not in Wiktionary,any of several attractive evergreen shrubs of Australia grown for their glossy deep green foliage and flowers in rich blues and intense violets
newspapering,1.12,RARE,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,journalism practiced for the newspapers
relistening,1.12,RARE,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,the act of hearing again
slews,1.12,RARE,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,a large number or amount
plectranthus,1.11,RARE,1,noun.plant,BIO,,True,False,False,not in Wiktionary,any of various ornamental plants of the genus Plectranthus
bize,1.1,RARE,1,noun.phenomenon,GENERAL,,True,False,False,not in Wiktionary,a dry cold north wind in southeastern France
lecanora,1.1,RARE,1,noun.plant,BIO,,True,False,False,not in Wiktionary,any lichen of the genus Lecanora; some used in dyeing; some used for food
sextillion,1.1,RARE,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,the number that is represented as a one followed by 21 zeros
falanga,1.09,RARE,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,a form of torture in which the soles of the feet are beaten with whips or cudgels
globigerina,1.09,RARE,1,noun.animal,BIO,,True,False,False,not in Wiktionary,marine protozoan having a rounded shell with spiny processes
unconfessed,1.09,RARE,1,noun.group,GENERAL,,True,False,False,not in Wiktionary,people who have not confessed
coelophysis,1.08,RARE,1,noun.animal,BIO,,True,False,False,not in Wiktionary,one of the oldest known dinosaurs; late Triassic; cannibalistic
flipagram,1.07,RARE,1,noun.artifact,GENERAL,,False,False,False,not in Wiktionary,a sequence of photos composed into a video
quintupling,1.07,RARE,1,noun.process,GENERAL,,True,False,False,not in Wiktionary,increasing by a factor of five
shawny,1.07,RARE,1,noun.plant,BIO,,True,False,False,not in Wiktionary,showy perennial herb with white flowers; leaves sometimes used as edible greens in southeastern United States
teetotaling,1.07,RARE,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,abstaining from alcohol
dkl,1.05,RARE,1,noun.quantity,GENERAL,,True,False,False,not in Wiktionary,a metric unit of volume or capacity equal to 10 liters
tictac,1.05,RARE,1,noun.event,GENERAL,,True,False,False,not in Wiktionary,steady recurrent ticking sound as made by a clock
gulyas,1.03,RARE,1,noun.food,GENERAL,,True,False,False,not in Wiktionary,a rich meat stew highly seasoned with paprika
nerita,1.03,RARE,1,noun.animal,BIO,,True,False,False,not in Wiktionary,a neritid gastropod having a short smooth or spirally ridged shell with thick usually toothed outer lip and toothed operculum
uxor,1.03,RARE,1,noun.person,SPECIAL,law,True,False,False,not in Wiktionary,(legal terminology) the Latin word for wife
avaritia,1.02,RARE,1,noun.act,GENERAL,,True,False,False,not in Wiktionary,reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins)
echinocactus,1.02,RARE,1,noun.plant,BIO,,True,False,False,not in Wiktionary,any cactus of the genus Echinocactus; strongly ribbed and very spiny; southwestern United States to Brazil
abdominousness,0.0,OBSCURE,1,noun.attribute,GENERAL,,True,False,False,obscure,the bodily property of a protruding belly
acaracide,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,a chemical agent used to kill mites
acetphenetidin,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a white crystalline compound used as an analgesic and also as an antipyretic
achondroplasty,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,an inherited skeletal disorder beginning before birth; cartilage is converted to bone resulting in dwarfism
acmeism,0.0,OBSCURE,1,noun.group,GENERAL,,False,False,False,obscure,An early 20th-century Russian school of poetry that rejected the vagueness and emotionality of Symbolism in favor of Imagist clarity and texture.
aculea,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,small spiny outgrowth on the wings of certain insects
adesite,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,a dark grey volcanic rock
adience,0.0,OBSCURE,1,noun.motive,SPECIAL,psychology,True,False,False,obscure,(psychology) an urge to accept or approach a situation or an object
aepyornis,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,huge (to 9 ft.) extinct flightless bird of Madagascar
aerides,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any orchid of the genus Aerides
afropavo,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,both sexes are brightly colored
agalactosis,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,a condition in which milk is not secreted in the mother's breasts after her child has been delivered
agrimonia,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,a plant of the genus Agrimonia having spikelike clusters of small yellow flowers
aigu,0.0,OBSCURE,1,noun.communication,GENERAL,,False,False,False,obscure,a mark placed above a vowel to indicate pronunciation
aircrewwoman,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a female member of an aircrew
albuca,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of various plants of the genus Albuca having large clusters of pale yellow flowers; South Africa
alexic,0.0,OBSCURE,1,noun.person,GENERAL,,True,False,False,obscure,a person with alexia
algarobilla,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,mesquite pod used in tanning and dyeing
alkaliser,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,an agent that counteracts or neutralizes acidity (especially in the stomach)
allomerism,0.0,OBSCURE,1,noun.event,TEC,chemistry,True,False,False,obscure,(chemistry) variability in chemical composition without variation in crystalline form
alumbloom,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of several herbs of the genus Heuchera
amatungulu,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,very large closely branched South African shrub having forked bright green spines and shiny leaves
amberbell,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,eastern North American dogtooth having solitary yellow flowers marked with brown or purple and spotted interiors
amebiosis,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,infection by a disease-causing ameba
aminoalkane,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,a compound derived from ammonia by replacing hydrogen atoms by univalent hydrocarbon radicals
aminobenzine,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,oily poisonous liquid amine obtained from nitrobenzene and used to make dyes and plastics and medicines
aminopherase,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,a class of transferases that catalyze transamination (that transfer an amino group from an amino acid to another compound)
aminoplast,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,a plastic (synthetic resin) made from amino compounds; used as an adhesive and as a coating for paper and textiles
ammobium,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any plant of the genus Ammobium having yellow flowers and silvery foliage
amyxia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,a condition in which no mucus in produced
anaspid,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,extinct small freshwater jawless fish usually having a heterocercal tail and an armored head; of the Silurian and Devonian
anastalsis,0.0,OBSCURE,1,noun.process,GENERAL,,True,False,False,obscure,muscular action of the alimentary tract in a direction opposite to peristalsis
anatotitan,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,one of the largest and most famous duck-billed dinosaurs
andelmin,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of several tropical American trees of the genus Andira
androglossia,0.0,OBSCURE,1,noun.attribute,GENERAL,,True,False,False,obscure,a woman's voice with male qualities
andryala,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any plant of the genus Andryala having milky sap and heads of bright yellow flowers
anemoclinometer,0.0,OBSCURE,1,noun.artifact,GENERAL,,False,False,False,obscure,A type of instrument which measures the inclination of the wind to the horizontal plane.
anencephalia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,a defect in brain development resulting in small or missing brain hemispheres
anesthyl,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a mixture of methyl and ethyl chloride; sprayed on as a local anesthetic
angelim,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of several tropical American trees of the genus Andira
angiohemophilia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,a form of hemophilia discovered by Erik von Willebrand; a genetic disorder that is inherited as an autosomal recessive trait; characterized by a deficiency of the coagulation factor and by mucosal bleeding
angiopteris,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,highly variable species of very large primitive ferns of the Pacific tropical areas with high rainfall
angiotelectasia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,dilation and enlargement of arterioles
anglophil,0.0,OBSCURE,1,noun.person,GENERAL,,True,False,False,obscure,an admirer of England and things English
angrecum,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of various spectacular orchids of the genus Angraecum having dark green leathery leaves and usually nocturnally scented white or ivory flowers
annalism,0.0,OBSCURE,1,noun.act,GENERAL,,False,False,False,obscure,The writing of annals.
annexa,0.0,OBSCURE,1,noun.body,MED,,True,False,False,obscure,accessory or adjoining anatomical parts or appendages to an organ (especially of the embryo)
annulary,0.0,OBSCURE,1,noun.body,MED,,False,False,False,obscure,the third finger (especially of the left hand)
anomalops,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,fish having a luminous organ beneath eye; of warm waters of the western Pacific and Puerto Rico
anomalopteryx,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,the smallest moa; slender moa about the size of a large turkey
anorthography,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,a loss of the ability to write or to express thoughts in writing because of a brain lesion
anthropologism,0.0,OBSCURE,1,noun.cognition,GENERAL,,False,False,False,obscure,"a point of view in which human nature is exhaustively determined by the culture in which a person lives, leaving no room for human agency."
antiredeposition,0.0,OBSCURE,1,noun.process,GENERAL,,True,False,False,obscure,the process of preventing redeposition
apolemia,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,large siphonophore of up to 50 ft long
appendicularia,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,free-swimming tadpole-shaped pelagic tunicate resembling larvae of other tunicates
applemint,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,mint with apple-scented stems of southern and western Europe; naturalized in United States
aquilege,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,a plant of the genus Aquilegia having irregular showy spurred flowers; north temperate regions especially mountains
arcella,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,an amoeba-like protozoan with a chitinous shell resembling an umbrella
archaeobacteria,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,considered ancient life forms that evolved separately from bacteria and blue-green algae
archaeornis,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,extinct primitive toothed bird with a long feathered tail and three free clawed digits on each wing
archeobacteria,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,considered ancient life forms that evolved separately from bacteria and blue-green algae
arere,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,large west African tree having large palmately lobed leaves and axillary cymose panicles of small white flowers and one-winged seeds; yields soft white to pale yellow wood
argonon,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,any of the chemically inert gaseous elements of the helium group in the periodic table
arishth,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,large semi-evergreen tree of the East Indies; trunk exudes a tenacious gum; bitter bark used as a tonic; seeds yield an aromatic oil; sometimes placed in genus Melia
arrogator,0.0,OBSCURE,1,noun.person,GENERAL,,True,False,False,obscure,a person who through conceit makes pretentious claims to rights or advantages that he or she is not entitled to or to qualities that he or she does not possess
arteriectasia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,an abnormal distension of an artery
articulatio,0.0,OBSCURE,1,noun.body,MED,anatomy,True,False,False,obscure,(anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
arui,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,wild sheep of northern Africa
asseverator,0.0,OBSCURE,1,noun.person,GENERAL,,True,False,False,obscure,someone who claims to speak the truth
atherodyde,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a simple type of jet engine; must be launched at high speed
atmoradiograph,0.0,OBSCURE,1,noun.artifact,GENERAL,,False,False,False,obscure,a device which measures the frequency of occurrence of atmospherics.
atopognosis,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,absence or loss of topognosia; inability to locate correctly a point of touch
atrophedema,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,"recurrent large circumscribed areas of subcutaneous edema; onset is sudden and it disappears within 24 hours; seen mainly in young women, often as an allergic reaction to food or drugs"
attestant,0.0,OBSCURE,2,noun.person,SPECIAL,law,True,False,False,obscure,(law) a person who attests to the genuineness of a document or signature by adding their own signature
attestator,0.0,OBSCURE,1,noun.person,SPECIAL,law,True,False,False,obscure,(law) a person who attests to the genuineness of a document or signature by adding their own signature
attracter,0.0,OBSCURE,3,noun.person,TEC,physics,True,False,False,obscure,an entertainer who attracts large audiences
auriculare,0.0,OBSCURE,1,noun.body,MED,,True,False,False,obscure,the craniometric point at the center of the opening of the external acoustic meatus
autostereotype,0.0,OBSCURE,1,noun.cognition,GENERAL,,False,False,False,obscure,the standardized mental picture held in common by members of a cultural group depicting an oversimplified image of themselves and their behaviour.
axseed,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,European herb resembling vetch; naturalized in the eastern United States; having umbels of pink-and-white flowers and sharp-angled pods
azymia,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,absence of an enzyme
babbitting,0.0,OBSCURE,1,noun.act,GENERAL,,True,False,False,obscure,lining a surface or bearing with Babbitt metal
backflowing,0.0,OBSCURE,1,noun.event,GENERAL,,True,False,False,obscure,a flow that returns toward its source
bagascosis,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,alveolitis caused by inhaling bagasse (sugarcane dust)
baggagewoman,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a female attendant who takes care of baggage
bakshis,0.0,OBSCURE,1,noun.possession,GENERAL,,True,False,False,obscure,a relatively small amount of money given for services rendered (as by a waiter)
balibago,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,shrubby tree widely distributed along tropical shores; yields a light tough wood used for canoe outriggers and a fiber used for cordage and caulk; often cultivated for ornament
ballup,0.0,OBSCURE,1,noun.act,GENERAL,,True,False,False,obscure,something badly botched or muddled
bandelette,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,molding in the form of a ring; at top of a column
bandswoman,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a female player in a band (especially a military band)
bandtail,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,wild pigeon of western North America; often mistaken for the now extinct passenger pigeon
bandyleg,0.0,OBSCURE,1,noun.body,MED,,True,False,False,obscure,a leg bowed outward at the knee (or below the knee)
bartonia,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,annual grown especially for its fragrant golden nocturnal flowers
bassine,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,coarse leaf fiber from palmyra palms used in making brushes and brooms
basyonym,0.0,OBSCURE,1,noun.communication,GENERAL,,False,False,False,obscure,an original scientific name on which the modern name is based
batrachomyomachia,0.0,OBSCURE,1,noun.communication,GENERAL,,True,False,False,obscure,a silly altercation
battlesight,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,an arrangement of sights that makes possible the rapid aiming of a firearm at short ranges
beagling,0.0,OBSCURE,1,noun.act,GENERAL,,True,False,False,obscure,hunting rabbits with beagles
beaugregory,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,a blue and yellow damselfish of Bermuda and Florida and the West Indies
befooling,0.0,OBSCURE,1,noun.communication,GENERAL,,True,False,False,obscure,derision of someone or something as foolish or absurd or inconsistent
beleaguering,0.0,OBSCURE,1,noun.act,SPECIAL,military,True,False,False,obscure,the action of an armed force that surrounds a fortified place and isolates it while continuing to attack
betise,0.0,OBSCURE,1,noun.act,GENERAL,,True,False,False,obscure,a stupid mistake
bialystoker,0.0,OBSCURE,1,noun.food,GENERAL,,True,False,False,obscure,flat crusty-bottomed onion roll
bignoniad,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any woody plant of the family Bignoniaceae
billyoh,0.0,OBSCURE,1,noun.quantity,GENERAL,,True,False,False,obscure,an unimaginably large amount
bimli,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,valuable fiber plant of East Indies now widespread in cultivation
bioarm,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,any weapon usable in biological warfare
bioflavinoid,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,a vitamin that maintains the resistance of cell and capillary walls to permeation
bispak,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,A sexually promiscuous Indonesian woman
bitok,0.0,OBSCURE,1,noun.food,GENERAL,,True,False,False,obscure,a Russian dish made with patties of ground meat (mixed with onions and bread and milk) and served with a sauce of sour cream
blackbeetle,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,dark brown cockroach originally from orient now nearly cosmopolitan in distribution
blacktopping,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,a black bituminous material used for paving roads or other areas; usually spread over crushed rock
blastocytoma,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,a tumor composed of immature undifferentiated cells
blepharism,0.0,OBSCURE,1,noun.state,GENERAL,,True,False,False,obscure,condition in which a person blinks continuously
bletia,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of various orchids of the genus Bletia having pseudobulbs and erect leafless racemes of large purple or pink flowers
bobfloat,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,a small float usually made of cork; attached to a fishing line
bocconia,0.0,OBSCURE,2,noun.plant,BIO,,True,False,False,obscure,herb of China and Japan widely cultivated for its plumelike panicles of creamy white flowers
bogmat,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,having narrow flat sickle-shaped submerged fronds; North America
bolograph,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,record or recording made by a bolometer
bonavist,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,perennial twining vine of Old World tropics having trifoliate leaves and racemes of fragrant purple pea-like flowers followed by maroon pods of edible seeds; grown as an ornamental and as a vegetable on the Indian subcontinent; sometimes placed in genus Dolichos
bookwoman,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a female learned person; someone who by long study has gained mastery in one or more disciplines
booyong,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,large tree of Australasia
botulismotoxin,0.0,OBSCURE,1,noun.substance,GENERAL,,True,False,False,obscure,potent bacterial toxin produced by the bacterium Clostridium botulinum that causes botulism; can be used as a bioweapon
bouchee,0.0,OBSCURE,1,noun.food,GENERAL,,True,False,False,obscure,shell of puff paste
bourtree,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,a common shrub with black fruit or a small tree of Europe and Asia; fruit used for wines and jellies
boxershorts,0.0,OBSCURE,1,noun.artifact,GENERAL,,True,False,False,obscure,underpants worn by men
branchiopodan,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,aquatic crustaceans typically having a carapace and many pairs of leaflike appendages used for swimming as well as respiration and feeding
brassavola,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of various tropical American orchids with usually solitary fleshy leaves and showy white to green nocturnally fragrant blossoms solitary or in racemes of up to 7
breakax,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,West Indian timber tree having very hard wood
breakaxe,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,West Indian timber tree having very hard wood
brierpatch,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,tangled mass of prickly plants
brierwood,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,wood from the hard woody root of the briar Erica arborea; used to make tobacco pipes
brodiaea,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,any of several plants of the genus Brodiaea having basal grasslike leaves and globose flower heads on leafless stems resembling those of genus Allium
bruitism,0.0,OBSCURE,1,noun.group,GENERAL,,False,False,False,obscure,The use in music of sounds taken from an extra-musical source or context. The term is used most often of percussion or of electronic music that suggests the sounds of machinery.
bryanthus,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,procumbent Old World mat-forming evergreen shrub with racemes of pinkish-white flowers
buckleya,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,parasitic shrub of the eastern United States having opposite leaves and insignificant greenish flowers followed by oily dull green olivelike fruits
budgerygah,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,small Australian parakeet usually light green with black and yellow markings in the wild but bred in many colors
bullbrier,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,a very prickly woody vine of the eastern United States growing in tangled masses having tough round stems with shiny leathery leaves and small greenish flowers followed by clusters of inedible shiny black berries
bullygirl,0.0,OBSCURE,1,noun.person,GENERAL,,False,False,False,obscure,a female swaggering tough; usually one acting as an agent of a political faction
burrawong,0.0,OBSCURE,1,noun.plant,BIO,,True,False,False,obscure,large attractive palmlike evergreen cycad of New South Wales
burunduki,0.0,OBSCURE,1,noun.animal,BIO,,True,False,False,obscure,terrestrial Siberian squirrel
butat,0.0,OBSCURE,1,noun.quantity,GENERAL,,True,False,False,obscure,100 bututs equal 1 dalasi in Gambia
cabbala,0.0,OBSCURE,1,noun.communication,GENERAL,,True,True,False,obscure,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
cabbalah,0.0,OBSCURE,1,noun.communication,GENERAL,,True,True,False,obscure,an esoteric or occult matter resembling the Kabbalah that is traditionally secret
