noun,start,end,length,name,definition,wikipedia
anachronism,a,m,11,False,something located at a time when it could not have existed or occurred,"An anachronism (from the Greek ἀνά ana, 'against' and χρόνος khronos, 'time') is a chronological inconsistency in some arrangement, especially a juxtaposition of people, events, objects, language terms and customs from different time periods."
anaclisis,a,s,9,False,(psychoanalysis) relationship marked by strong dependence on others; especially a libidinal attachment to e.g. a parental figure,
anacoluthia,a,a,11,False,an abrupt change within a sentence from one syntactic structure to another,
anacoluthon,a,n,11,False,an abrupt change within a sentence from one syntactic structure to another,"An anacoluthon (; from the Greek anakolouthon, from an- 'not', and akólouthos 'following') is an unexpected discontinuity in the expression of ideas within a sentence, leading to a form of words in which there is logical incoherence of thought."
anaconda,a,a,8,False,large arboreal boa of tropical South America,Anacondas or water boas are a group of large snakes of the genus Eunectes.
anadiplosis,a,s,11,False,repetition of the final words of a sentence or line at the beginning of the next,"Anadiplosis ( AN-ə-di-PLOH-sis; Greek: ἀναδίπλωσις, anadíplōsis, ""a doubling, folding up"") is the repetition of the last word of a preceding clause."
anaemia,a,a,7,False,a lack of vitality,
anaerobe,a,e,8,False,an organism (especially a bacterium) that does not require air or free oxygen to live,
anaesthesia,a,a,11,False,loss of bodily sensation with or without loss of consciousness,
anaesthetic,a,c,11,False,a drug that causes temporary loss of bodily sensations,
anaesthetist,a,t,12,False,a specialist who administers an anesthetic to a patient before he is treated,
anaglyph,a,h,8,False,moving or still pictures in contrasting colors that appear three-dimensional when superimposed,
anaglyphy,a,y,9,False,the process of producing pictures in contrasting colors that appear three-dimensional when superimposed and viewed through spectacles with one red and one green lens,
anagnost,a,t,8,False,a cleric in the minor orders of the Eastern Orthodox Church who reads the lessons aloud in the liturgy (analogous to the lector in the Roman Catholic Church),
anagoge,a,e,7,False,a mystical or allegorical interpretation (especially of Scripture),"Anagoge (ἀναγωγή), sometimes spelled anagogy, is a Greek word suggesting a climb or ascent upwards."
anagram,a,m,7,False,a word or phrase spelled by rearranging the letters of another word or phrase,"An anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once."
anagrams,a,s,8,False,a game whose object is to form words from a group of randomly chosen letters,
analbuminemia,a,a,13,False,an abnormally low level of albumin in the blood serum,
analecta,a,a,8,False,a collection of excerpts from a literary work,
analects,a,s,8,False,a collection of excerpts from a literary work,The Analects (Chinese: 論語; pinyin: Lúnyǔ; lit.
analeptic,a,c,9,False,a medication used as a stimulant to the central nervous system,"An analeptic, in medicine, is a central nervous system stimulant."
analgesia,a,a,9,False,absence of the sense of pain without loss of consciousness,
analgesic,a,c,9,False,a medicine used to relieve pain,"An analgesic drug, also called simply an analgesic, pain reliever, or painkiller, is any member of the group of drugs used to achieve relief from pain (that is, analgesia or pain management)."
analog,a,g,6,False,something having the property of being analogous to something else,
analogist,a,t,9,False,someone who looks for analogies or who reasons by analogy,
analogue,a,e,8,False,something having the property of being analogous to something else,
analogy,a,y,7,False,an inference that if things agree in some respects they probably agree in others,"Analogy is a comparison or correspondence between two things (or two groups of things) because of a third element that they are considered to share.In logic, it is an inference or an argument from one particular to another particular, as opposed to deduction, induction, and abduction."
analphabet,a,t,10,False,an illiterate person who does not know the alphabet,
analphabetic,a,c,12,False,an illiterate person who does not know the alphabet,
analphabetism,a,m,13,False,an inability to read,
analysand,a,d,9,False,a person undergoing psychoanalysis,
analyser,a,r,8,False,an instrument that performs analyses,An analyser (British English) or analyzer (American English; see spelling differences) is a tool used to analyze data.
analysis,a,s,8,False,an investigation of the component parts of a whole and their relations in making up the whole,Analysis (pl.: analyses) is the process of breaking a complex topic or substance into smaller parts in order to gain a better understanding of it.
analyst,a,t,7,False,someone who is skilled at analyzing data,
analyticity,a,y,11,False,the property of being analytic,
analyzer,a,r,8,False,an instrument that performs analyses,
anamnesis,a,s,9,False,the case history of a medical patient as recalled by the patient,
anamorphism,a,m,11,False,the evolution of one type of organism from another by a long series of gradual changes,"In computer programming, an anamorphism is a function that generates a sequence by repeated application of the function to its previous result."
anamorphosis,a,s,12,False,the evolution of one type of organism from another by a long series of gradual changes,"Anamorphosis is a distorted projection that requires the viewer to occupy a specific vantage point, use special devices, or both to view a recognizable image."
ananas,a,s,6,False,a genus of tropical American plants have sword-shaped leaves and a fleshy compound fruits composed of the fruits of several flowers (such as pineapples),Ananas is a plant genus in the family Bromeliaceae.
anapaest,a,t,8,False,a metrical unit with unstressed-unstressed-stressed syllables,"An anapaest (; also spelled anapæst or anapest, also called antidactylus) is a metrical foot used in formal poetry."
anapest,a,t,7,False,a metrical unit with unstressed-unstressed-stressed syllables,
anaphase,a,e,8,False,the stage of meiosis or mitosis when chromosomes move toward opposite ends of the nuclear spindle,"Anaphase (from Ancient Greek  ἀνα- (ana-) 'back, backward', and  φάσις (phásis) 'appearance') is the stage of mitosis after the process of metaphase, when replicated chromosomes are split and the newly-copied chromosomes (daughter chromatids) are moved to opposite poles of the cell."
anaphor,a,r,7,False,a word (such as a pronoun) used to avoid repetition; the referent of an anaphor is determined by its antecedent,
anaphora,a,a,8,False,using a pronoun or similar word instead of repeating a word used earlier,
anaphrodisia,a,a,12,False,decline or absence of sexual desire,
anaphylaxis,a,s,11,False,hypersensitivity reaction to the ingestion or injection of a substance (a protein or drug) resulting from prior contact with a substance,"Anaphylaxis is a serious, potentially fatal allergic reaction and medical emergency that is rapid in onset and requires immediate medical attention regardless of use of emergency medication on site."
anaplasia,a,a,9,False,"loss of structural differentiation within a cell or group of cells often with increased capacity for multiplication, as in a malignant tumor","Anaplasia (from Ancient Greek: ἀνά ana, ""backward"" + πλάσις plasis, ""formation"") is a condition of cells with poor cellular differentiation, losing the morphological characteristics of mature cells and their orientation with respect to each other and to endothelial cells."
anaplasmosis,a,s,12,False,a disease of cattle that is transmitted by cattle ticks; similar to Texas fever,"Anaplasmosis is a tick-borne disease affecting ruminants, dogs, and horses, and is caused by Anaplasma bacteria."
anaplasty,a,y,9,False,surgery concerned with therapeutic or cosmetic reformation of tissue,
anapsid,a,d,7,False,primitive reptile having no opening in the temporal region of the skull; all extinct except turtles,"An anapsid is an amniote whose skull lacks one or more skull openings (fenestra, or fossae) near the temples."
anarchism,a,m,9,False,a political theory favoring the abolition of governments,"Anarchism is a political philosophy and movement that is skeptical of all justifications for authority and seeks to abolish the institutions it claims maintain unnecessary coercion and hierarchy, typically including nation-states, and capitalism."
anarchist,a,t,9,False,an advocate of anarchism,
anarchy,a,y,7,False,a state of lawlessness and disorder (usually resulting from a failure of government),Anarchy is a form of society without rulers.
anarthria,a,a,9,False,partial or total loss of articulate speech resulting from lesions of the central nervous system,Anarthria is a genus of flowering plant species endemic to Southwest Australia.
anasarca,a,a,8,False,generalized edema with accumulation of serum in subcutaneous connective tissue,"Anasarca is a severe and generalized form of edema, with subcutaneous tissue swelling throughout the body."
anaspid,a,d,7,False,extinct small freshwater jawless fish usually having a heterocercal tail and an armored head; of the Silurian and Devonian,
anastalsis,a,s,10,False,muscular action of the alimentary tract in a direction opposite to peristalsis,
anastigmat,a,t,10,False,compound lens or lens system designed to be free of astigmatism and able to form approximately point images,"An anastigmat or anastigmatic lens is a photographic lens completely corrected for the three main optical aberrations: spherical aberration, coma, and astigmatism."
anastomosis,a,s,11,False,a natural or surgical joining of parts or branches of tubular structures so as to make or become continuous,"An anastomosis (, pl.: anastomoses) is a connection or opening between two things (especially cavities or passages) that are normally diverging or branching, such as between blood vessels, leaf veins, or streams."
anastrophe,a,e,10,False,the reversal of the normal order of words,"Anastrophe (from the Greek: ἀναστροφή, anastrophē, ""a turning back or about"") is a figure of speech in which the normal word order of the subject, the verb, and the object is changed."
anastylosis,a,s,11,False,the archeological reassembly of ruined monuments from fallen or decayed fragments (incorporating new materials when necessary),"Anastylosis (from the Ancient Greek: αναστήλωσις, -εως; ανα, ana = ""again"", and στηλόω = ""to erect [a stela  or building]"") is an architectural conservation term for a reconstruction technique whereby a ruined building or monument is restored using the original architectural elements to the greatest degree possible, combined with modern materials if necessary, ensuring that the latter are unobtrusive while clearly recognizable as replacement materials."
anathema,a,a,8,False,a detested person,The word anathema has two main meanings.
anathematisation,a,n,16,False,the formal act of pronouncing (someone or something) accursed,
anathematization,a,n,16,False,the formal act of pronouncing (someone or something) accursed,
anatomical,a,l,10,False,an expression that relates to anatomy,
anatomist,a,t,9,False,an expert in anatomy,
anatomy,a,y,7,False,the branch of morphology that deals with the structure of animals,Anatomy (from Ancient Greek  ἀνατομή (anatomḗ) 'dissection') is the branch of biology concerned with the study of the structure of organisms and their parts.
anatotitan,a,n,10,False,one of the largest and most famous duck-billed dinosaurs,
anatoxin,a,n,8,False,a bacterial toxin that has been weakened until it is no longer toxic but is strong enough to induce the formation of antibodies and immunity to the specific disease caused by the toxin,
ancestor,a,r,8,False,someone from whom you are descended (but usually more remote than a grandparent),"An ancestor, also known as a forefather, fore-elder, or a forebear, is a parent or (recursively) the parent of an antecedent (i.e., a grandparent, great-grandparent, great-great-grandparent and so forth)."
ancestress,a,s,10,False,a woman ancestor,
ancestry,a,y,8,False,the descendants of one individual,
anchor,a,r,6,False,a mechanical device that prevents a vessel from moving,"An anchor is a device, normally made of metal, used to secure a vessel to the bed of a body of water to prevent the craft from drifting due to wind or current."
anchorage,a,e,9,False,the condition of being secured to a base,
anchorite,a,e,9,False,one retired from society for religious reasons,"In Christianity, an anchorite or anchoret (female: anchoress; from Ancient Greek: ἀναχωρέω, romanized: anakhōréō, lit. 'I withdraw, retire') is someone who, for religious reasons, withdraws from secular society to be able to lead an intensely prayer-orientated, ascetic, or Eucharist-focused life."
anchorman,a,n,9,False,a television reporter who coordinates a broadcast to which several correspondents contribute,
anchorperson,a,n,12,False,a television reporter who coordinates a broadcast to which several correspondents contribute,
anchovy,a,y,7,False,tiny fishes usually canned or salted; used for hors d'oeuvres or as seasoning in sauces,"An anchovy is a small, common forage fish of the family Engraulidae."
anchusa,a,a,7,False,any of various Old World herbs of the genus Anchusa having one-sided clusters of trumpet-shaped flowers,The genus Anchusa belongs to the borage family (Boraginaceae).
anchylosis,a,s,10,False,abnormal adhesion and rigidity of the bones of a joint,
ancient,a,t,7,False,a very old person,
ancientness,a,s,11,False,extreme oldness,
ancients,a,s,8,False,people who lived in times long past (especially during the historical period before the fall of the Roman Empire in western Europe),
andante,a,e,7,False,a moderately slow tempo (a walking pace),
andelmin,a,n,8,False,any of several tropical American trees of the genus Andira,
andesite,a,e,8,False,a dark grey volcanic rock,Andesite () is a volcanic rock of intermediate composition.
andiron,a,n,7,False,metal supports for logs in a fireplace,"An andiron or firedog, fire-dog or fire dog is a bracket support, normally one of a pair, on which logs are laid for burning in an open fireplace, so that air may circulate under the firewood, allowing better burning and less smoke."
andradite,a,e,9,False,a garnet consisting of calcium iron silicate and having any color ranging from yellow and green to brown and black; used as gemstone,Andradite is a mineral species of the garnet group.
andrena,a,a,7,False,a bee that is a member of the genus Andrena,Andrena is a genus of bees in the family Andrenidae.
andrenid,a,d,8,False,a bee that is a member of the genus Andrena,
androecium,a,m,10,False,a male gametoecium,
androgen,a,n,8,False,male sex hormone that is produced in the testes and responsible for typical male sexual characteristics,"An androgen (from Greek andr-, the stem of the word meaning ""man"") is any natural or synthetic steroid hormone that regulates the development and maintenance of male characteristics in vertebrates by binding to androgen receptors."
androgenesis,a,s,12,False,male parthenogenesis in which the embryo contains only paternal chromosomes due to the failure of the egg nucleus to participate in fertilization,Androgenesis occurs when a zygote is produced with only paternal nuclear genes.
androgeny,a,y,9,False,male parthenogenesis in which the embryo contains only paternal chromosomes due to the failure of the egg nucleus to participate in fertilization,
androglossia,a,a,12,False,a woman's voice with male qualities,
androgyne,a,e,9,False,one having both male and female sexual characteristics and organs; at birth an unambiguous assignment of male or female cannot be made,
androgyny,a,y,9,False,showing characteristics of both sexes,Androgyny is the possession of both masculine and feminine characteristics.
android,a,d,7,False,an automaton that resembles a human being,
andromeda,a,a,9,False,broad-leaved evergreen Asiatic shrub with glossy leaves and drooping clusters of white flowers,
androphobia,a,a,11,False,a morbid fear of men,
androsterone,a,e,12,False,an androgenic hormone that is less active than testosterone,"Androsterone, or 3α-hydroxy-5α-androstan-17-one, is an endogenous steroid hormone, neurosteroid, and putative pheromone."
andryala,a,a,8,False,any plant of the genus Andryala having milky sap and heads of bright yellow flowers,Andryala is a genus of flowering plants in the family Asteraceae.
anecdote,a,e,8,False,short account of an incident (especially a biographical one),"An anecdote is ""a story with a point"", such as to communicate an abstract idea about a person, place, or thing through the concrete details of a short narrative or  to characterize by delineating a specific quirk or trait."
anecdotist,a,t,10,False,a person skilled in telling anecdotes,
anemia,a,a,6,False,a deficiency of red blood cells,"Anemia or anaemia (British English) is a blood disorder in which the blood has a reduced ability to carry oxygen due to a lower than normal number of red blood cells, a reduction in the amount of hemoglobin or hemoglobin abnormalities."
anemography,a,y,11,False,recording anemometrical measurements,
anemometer,a,r,10,False,a gauge for recording the speed and direction of wind,"In meteorology, an anemometer (from Ancient Greek  άνεμος (ánemos) 'wind', and  μέτρον (métron) 'measure') is a device that measures wind speed and direction."
anemometry,a,y,10,False,measuring wind speed and direction,
anemone,a,e,7,False,any woodland plant of the genus Anemone grown for its beautiful flowers and whorls of dissected leaves,Anemone () is a genus of flowering plants in the buttercup family Ranunculaceae.
anencephalia,a,a,12,False,a defect in brain development resulting in small or missing brain hemispheres,
anencephaly,a,y,11,False,a defect in brain development resulting in small or missing brain hemispheres,"Anencephaly is the absence of a major portion of the brain, skull, and scalp that occurs during embryonic development."
anergy,a,y,6,False,reduction or lack of an immune response to a specific antigen,
aneroid,a,d,7,False,a barometer that measures pressure without using fluids,
anesthesia,a,a,10,False,loss of bodily sensation with or without loss of consciousness,"Anesthesia or anaesthesia is a state of controlled, temporary loss of sensation or awareness that is induced for medical or veterinary purposes."
anesthesiologist,a,t,16,False,a specialist who administers an anesthetic to a patient before he is treated,
anesthesiology,a,y,14,False,the branch of medical science that studies and applies anesthetics,"Anesthesiology,  anaesthesiology, or anaesthesia is the medical specialty concerned with the total perioperative care of patients before, during and after surgery."
anesthetic,a,c,10,False,a drug that causes temporary loss of bodily sensations,"An anesthetic (American English) or anaesthetic (British English; see spelling differences) is a drug used to induce anesthesia ⁠— ⁠in other words, to result in a temporary loss of sensation or awareness."
anesthetist,a,t,11,False,a specialist who administers an anesthetic to a patient before he is treated,
anesthyl,a,l,8,False,a mixture of methyl and ethyl chloride; sprayed on as a local anesthetic,
anestrum,a,m,8,False,applies to nonhuman mammals: a state or interval of sexual inactivity between two periods of estrus,
anestrus,a,s,8,False,applies to nonhuman mammals: a state or interval of sexual inactivity between two periods of estrus,
aneuploidy,a,y,10,False,an abnormality involving a chromosome number that is not an exact multiple of the haploid number (one chromosome set is incomplete),"Aneuploidy is the presence of an abnormal number of chromosomes in a cell, for example a human cell having 45 or 47 chromosomes instead of the usual 46."
aneurin,a,n,7,False,a B vitamin that prevents beriberi; maintains appetite and growth,
aneurism,a,m,8,False,a cardiovascular disease characterized by a saclike widening of an artery resulting from weakening of the artery wall,
aneurysm,a,m,8,False,a cardiovascular disease characterized by a saclike widening of an artery resulting from weakening of the artery wall,"An aneurysm is an outward bulging, likened to a bubble or balloon, caused by a localized, abnormal, weak spot on a blood vessel wall."
angel,a,l,5,False,spiritual being attendant upon God,"In various theistic religious traditions, an angel is a supernatural spiritual being who serves God."
angelfish,a,h,9,False,a butterfly fish of the genus Pomacanthus,
angelica,a,a,8,False,any of various tall and stout herbs of the genus Angelica having pinnately compound leaves and small white or greenish flowers in compound umbels,"Angelica is a genus of about 90 species of tall biennial and perennial herbs in the family Apiaceae, native to temperate and subarctic regions of the Northern Hemisphere, reaching as far north as Iceland, Lapland, and Greenland."
angelim,a,m,7,False,any of several tropical American trees of the genus Andira,Angelim (Angelinne) is a municipality/city in the state of Pernambuco in Brazil.
angelique,a,e,9,False,any of various tall and stout herbs of the genus Angelica having pinnately compound leaves and small white or greenish flowers in compound umbels,
angelology,a,y,10,False,the branch of theology that is concerned with angels,
angelus,a,s,7,False,the sound of a bell rung in Roman Catholic churches to announce the time when the Angelus should be recited,"The Angelus (; Latin for ""angel"") is a Catholic devotion commemorating the Incarnation of Christ."
anger,a,r,5,False,a strong emotion; a feeling that is oriented toward some real or supposed grievance,"Anger, also known as wrath (UK:  R-OH-TH) or rage, is an intense emotional state involving a strong uncomfortable and non-cooperative response to a perceived provocation, hurt or threat.A person experiencing anger will often experience physical effects, such as increased heart rate, elevated blood pressure, and increased levels of adrenaline and noradrenaline."
angiitis,a,s,8,False,inflammation of a blood vessel or lymph duct,
angina,a,a,6,False,any disease of the throat or fauces marked by spasmodic attacks of intense suffocative pain,"Angina, also known as angina pectoris, is chest pain or pressure, usually caused by insufficient blood flow to the heart muscle (myocardium)."
angiocardiogram,a,m,15,False,a series of X rays representing the action of the heart and its blood vessels after the injection of a radiopaque substance,
angiocarp,a,p,9,False,tree bearing fruit enclosed in a shell or involucre or husk,
angioedema,a,a,10,False,"recurrent large circumscribed areas of subcutaneous edema; onset is sudden and it disappears within 24 hours; seen mainly in young women, often as an allergic reaction to food or drugs",Angioedema is an area of swelling (edema) of the lower layer of skin and tissue just under the skin or mucous membranes.
angiogenesis,a,s,12,False,the formation of new blood vessels,"Angiogenesis is the physiological process through which new blood vessels form from pre-existing vessels, formed in the earlier stage of vasculogenesis."
angiogram,a,m,9,False,an X-ray representation of blood vessels made after the injection of a radiopaque substance,
angiography,a,y,11,False,roentgenographic examination of blood vessels after injection of a radiopaque contrast medium; produces an angiogram,"Angiography or arteriography is a medical imaging technique used to visualize the inside, or lumen, of blood vessels and organs of the body, with particular interest in the arteries, veins, and the heart chambers."
angiohemophilia,a,a,15,False,a form of hemophilia discovered by Erik von Willebrand; a genetic disorder that is inherited as an autosomal recessive trait; characterized by a deficiency of the coagulation factor and by mucosal bleeding,
angiologist,a,t,11,False,a physician who specializes in angiology,
angiology,a,y,9,False,the branch of medical science that studies the blood and lymph vessels and their disorders,"Angiology (from Greek ἀγγεῖον, angeīon, ""vessel""; and -λογία, -logia) is the medical specialty dedicated to studying the circulatory system and of the lymphatic system, i.e., arteries, veins and lymphatic vessels.In the UK, this field is more often termed angiology, and in the United States the term vascular medicine is more frequent."
angioma,a,a,7,False,a tumor consisting of a mass of blood or lymphatic vessels,"Angiomas are benign tumors derived from cells of the vascular or lymphatic vessel walls (endothelium) or derived from cells of the tissues surrounding these vessels.Angiomas are a frequent occurrence as patients age, but they might be an indicator of systemic problems such as liver disease."
angiopathy,a,y,10,False,any disease of the blood vessels or lymph ducts,"Angiopathy is the generic term for a disease of the blood vessels (arteries, veins, and capillaries)."
angioplasty,a,y,11,False,an operation to repair a damaged blood vessel or unblock a coronary artery,"Angioplasty, also known as balloon angioplasty and percutaneous transluminal angioplasty (PTA), is a minimally invasive endovascular procedure used to widen narrowed or obstructed arteries or veins, typically to treat arterial atherosclerosis."
angiopteris,a,s,11,False,highly variable species of very large primitive ferns of the Pacific tropical areas with high rainfall,"Angiopteris is a genus of huge evergreen ferns from the family Marattiaceae, found throughout the paleotropics from Madagascar to the South Pacific islands."
angiosarcoma,a,a,12,False,a rare malignant neoplasm arising from vascular tissue; usually occurs in the breast and skin and is believed to originate from the endothelial cells of blood vessels,Angiosarcoma is a rare and aggressive cancer that starts in the endothelial cells that line the walls of blood vessels or lymphatic vessels.
angioscope,a,e,10,False,a modified microscope used to study capillary vessels,
angiosperm,a,m,10,False,plants having seeds in a closed ovary,
angiotelectasia,a,a,15,False,dilation and enlargement of arterioles,
angiotensin,a,n,11,False,any of several vasoconstrictor substances (trade name Hypertensin) that cause narrowing of blood vessels,Angiotensin is a peptide hormone that causes vasoconstriction and an increase in blood pressure.
angiotonin,a,n,10,False,any of several vasoconstrictor substances (trade name Hypertensin) that cause narrowing of blood vessels,
angle,a,e,5,False,the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians,"In Euclidean geometry, an angle is the figure formed by two rays, called the sides of the angle, sharing a common endpoint, called the vertex of the angle."
angledozer,a,r,10,False,a bulldozer with an angled moldboard to push earth to one side,
angler,a,r,6,False,a scheming person; someone who schemes to gain an advantage,
anglerfish,a,h,10,False,fishes having large mouths with a wormlike filament attached for luring prey,The anglerfish are fish of the teleost order Lophiiformes ().
anglewing,a,g,9,False,nymphalid butterfly having angular notches on the outer edges of the forewings,
angleworm,a,m,9,False,terrestrial worm that burrows into and helps aerate soil; often surfaces when the ground is cool or wet; used as bait by anglers,
angling,a,g,7,False,fishing with a hook and line (and usually a pole),"Angling  (from Old English angol, meaning ""hook"") is a fishing technique that uses a fish hook attached to a fishing line to tether individual fish in the mouth."
anglophil,a,l,9,False,an admirer of England and things English,
anglophile,a,e,10,False,an admirer of England and things English,"An Anglophile is a person who admires or loves England, its people, its culture, its language, and/or its various accents."
anglophobe,a,e,10,False,a person who hates England and everything English,
angostura,a,a,9,False,the bitter bark of a South American tree; used in medicines and liqueurs and bitters,
angrecum,a,m,8,False,any of various spectacular orchids of the genus Angraecum having dark green leathery leaves and usually nocturnally scented white or ivory flowers,
angriness,a,s,9,False,the state of being angry,
angst,a,t,5,False,an acute but unspecific feeling of anxiety; usually reserved for philosophical anxiety about the world or about personal freedom,"Angst is fear or anxiety (anguish is its Latinate equivalent, and the words anxious and anxiety are of similar origin)."
angstrom,a,m,8,False,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation,"The angstrom (; ANG-strəm) or ångström () is a metric unit of length equal to 10−10 m; that is, one ten-billionth (US) of a metre, a hundred-millionth of a centimetre, 0.1 nanometre, or 100 picometres."
anguish,a,h,7,False,extreme mental distress,"Anguish (from the Latin angustia ""distress"") is ""extreme unhappiness caused by physical or mental suffering."" The feeling of anguish is typically preceded by a tragedy or event that has a profound meaning to the being in question."
angularity,a,y,10,False,a shape having one or more sharp angles,
angulation,a,n,10,False,the precise measurement of angles,
angwantibo,a,o,10,False,a kind of lemur,Angwantibos are two species of strepsirrhine primates classified in the genus Arctocebus of the family Lorisidae.
anhedonia,a,a,9,False,an inability to experience pleasure,"Anhedonia is a diverse array of deficits in hedonic function, including reduced motivation or ability to experience pleasure."
anhidrosis,a,s,10,False,failure of the sweat glands,
anhinga,a,a,7,False,fish-eating bird of warm inland waters having a long flexible neck and slender sharp-pointed bill,"The anhinga (; Anhinga anhinga), sometimes called snakebird, darter, American darter, or water turkey, is a water bird of the warmer parts of the Americas."
anhydride,a,e,9,False,a compound formed from one or more other compounds in a reaction resulting in removal of water,
anhydrosis,a,s,10,False,failure of the sweat glands,
ani,a,i,3,False,black tropical American cuckoo,"Ani (Armenian: Անի; Greek: Ἄνιον, Ánion; Latin: Abnicum; Turkish: Ani) is a ruined medieval Armenian city now situated in Turkey's province of Kars, next to the closed border with Armenia."
anil,a,l,4,False,a blue dye obtained from plants or made synthetically,
aniline,a,e,7,False,oily poisonous liquid amine obtained from nitrobenzene and used to make dyes and plastics and medicines,"Aniline (from Portuguese  anil 'indigo shrub', and -ine indicating a derived substance) is an organic compound with the formula C6H5NH2."
anima,a,a,5,False,(Jungian psychology) the inner self (not the external persona) that is in touch with the unconscious,
animadversion,a,n,13,False,harsh criticism or disapproval,
animal,a,l,6,False,a living organism characterized by voluntary movement,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia."
animalcule,a,e,10,False,microscopic organism such as an amoeba or paramecium,"Animalcule (Latin for 'little animal'; from  animal and  -culum) is an archaic term for microscopic organisms that included bacteria, protozoans, and very small animals."
animalculum,a,m,11,False,microscopic organism such as an amoeba or paramecium,
animalisation,a,n,13,False,an act that makes people cruel or lacking normal human qualities,
animalism,a,m,9,False,the doctrine that human beings are purely animal in nature and lacking a spiritual nature,
animality,a,y,9,False,the physical (or animal) side of a person as opposed to the spirit or intellect,
animalization,a,n,13,False,a depiction in the form of an animal,Animalization is a studio album by the English rock band the Animals.
animateness,a,s,11,False,the property of being animated; having animal life as distinguished from plant life,
animation,a,n,9,False,the condition of living or the state of being alive,Animation is a filmmaking technique by which still images are manipulated to create moving images.
animatism,a,m,9,False,the attribution of consciousness and personality to natural phenomena such as thunderstorms and earthquakes and to objects such as plants and stones,Animatism is a term coined by British anthropologist Robert Marett in the context of his teleological theory of the evolution of religion.
animator,a,r,8,False,someone who imparts energy and vitality and spirit to other people,"An animator is an artist who creates multiple images, known as frames, which give an illusion of movement called animation when displayed in rapid sequence."
animatronics,a,s,12,False,the construction of robots to look like animals (developed for Disneyland),An animatronic is a mechatronic puppet.
anime,a,e,5,False,a hard copal derived from an African tree,"Anime (Japanese: アニメ, IPA: [aꜜɲime] ) is hand-drawn and computer-generated animation originating from Japan."
animism,a,m,7,False,the doctrine that all natural objects and the universe itself have souls,"Animism (from Latin: anima meaning 'breath, spirit, life') is the belief that objects, places, and creatures all possess a distinct spiritual essence."
animist,a,t,7,False,one who accepts the doctrine of animism,
animosity,a,y,9,False,a feeling of ill will arousing active hostility,
animus,a,s,6,False,a feeling of ill will arousing active hostility,
anion,a,n,5,False,a negatively charged ion,
anionic,a,c,7,False,a class of synthetic detergents in which the molecules do not ionize in aqueous solutions,
anise,a,e,5,False,native to Egypt but cultivated widely for its aromatic seeds and the oil from them used medicinally and as a flavoring in cookery,"Anise (; Pimpinella anisum), also called aniseed or rarely anix is a flowering plant in the family Apiaceae native to the eastern Mediterranean region and Southwest Asia.The flavor and aroma of its seeds have similarities with some other spices and herbs, such as star anise, fennel, licorice, and tarragon."
aniseed,a,d,7,False,"liquorice-flavored seeds, used medicinally and in cooking and liquors",
aniseikonia,a,a,11,False,visual defect in which the shape and size of an ocular image differ in the two eyes,Aniseikonia is an ocular condition where there is a significant difference in the perceived size of images.
anisette,a,e,8,False,liquorice-flavored usually colorless sweet liqueur made from aniseed,"Anisette, or Anis, is an anise-flavored liqueur that is consumed in most Mediterranean countries."
anisogamete,a,e,11,False,either of a pair of unlike gametes especially those unlike in size,
anisogamy,a,y,9,False,(biology) reproduction by the union or fusion of two differing gametes (especially differing in size),Anisogamy is a form of sexual reproduction that involves the union or fusion of two gametes that differ in size and/or form.
anisometropia,a,a,13,False,difference in the refractive power of the two eyes,Anisometropia is a condition in which a person's eyes have substantially differing refractive power.
anisotropy,a,y,10,False,the property of being anisotropic; having a different value when measured in different directions,"Anisotropy () is the structural property of non-uniformity in different directions, as opposed to isotropy."
anjou,a,u,5,False,a former province of western France in the Loire valley,
ankle,a,e,5,False,a gliding joint between the distal ends of the tibia and fibula and the proximal end of the talus,"The ankle, or the talocrural region, or the jumping bone (informal) is the area where the foot and the leg meet."
anklebone,a,e,9,False,the bone in the ankle that articulates with the leg bones to form the ankle joint,
anklet,a,t,6,False,a shoe for a child or woman that has a strap around the ankle,"An anklet, also called ankle chain, ankle bracelet or ankle string, is an ornament worn around the ankle."
anklets,a,s,7,False,a sock that reaches just above the ankle,
ankus,a,s,5,False,an elephant goad with a sharp spike and a hook,
ankyloglossia,a,a,13,False,a congenital anomaly in which the mucous membrane under the tongue is too short limiting the mobility of the tongue,"Ankyloglossia, also known as tongue-tie, is a congenital oral anomaly that may decrease the mobility of the tongue tip and is caused by an unusually short, thick lingual frenulum, a membrane connecting the underside of the tongue to the floor of the mouth."
ankylosaur,a,r,10,False,having the back covered with thick bony plates; thought to have walked with a sprawling gait resembling a lizard's,
ankylosaurus,a,s,12,False,having the back covered with thick bony plates; thought to have walked with a sprawling gait resembling a lizard's,Ankylosaurus is a genus of armored dinosaur.
ankylosis,a,s,9,False,abnormal adhesion and rigidity of the bones of a joint,"Ankylosis is a stiffness of a joint due to abnormal adhesion and rigidity of the bones of the joint, which may be the result of injury or disease."
anlage,a,e,6,False,an organ in its earliest stage of development; the foundation for subsequent development,
anna,a,a,4,False,a former copper coin of Pakistan and India,
annalist,a,t,8,False,a historian who writes annals,
