noun,wikipedia
bindery,"Bindery refers to a studio, workshop or factory where sheets of (usually) paper are fastened together to make books, but also where gold and other decorative elements are added to the exterior of books, where boxes or slipcases for books are made and where the restoration of books is carried out."
bindweed,Bindweed may refer to:
binger,Binger is a German and Danish surname.
binnacle,"A binnacle  is a waist-high case or stand on the deck of a ship, generally mounted in front of the helmsman, in which navigational instruments are placed for easy and quick reference as well as to protect the delicate instruments."
binoculars,"Binoculars or field glasses are two refracting telescopes mounted side-by-side and aligned to point in the same direction, allowing the viewer to use both eyes (binocular vision) when viewing distant objects."
binturong,"The binturong (Arctictis binturong) (, bin-TURE-ong, BIN-ture-ong), also known as the bearcat, is a viverrid native to South and Southeast Asia."
bioassay,"A bioassay is an analytical method to determine the potency or effect of a substance by its effect on living animals or plants (in vivo), or on living cells or tissues (in vitro)."
biochemist,Biochemists are scientists who are trained in biochemistry.
biochemistry,Biochemistry or biological chemistry is the study of chemical processes within and relating to living organisms.
biochip,"In molecular biology, biochips are engineered substrates (""miniaturized laboratories"") that can host large numbers of simultaneous biochemical reactions."
bioclimatology,Bioclimatology is the interdisciplinary field of science that studies the interactions between the biosphere and the Earth's atmosphere on time scales of the order of seasons or longer (in contrast to biometeorology).
biodefense,"Biodefense refers to measures to restore biosecurity to a group of organisms who are, or may be, subject to biological threats or infectious diseases."
biodiversity,Biodiversity or biological diversity is the variety and variability of life on Earth.
bioethics,"Bioethics is both a field of study and professional practice, interested in ethical issues related to health (primarily focused on the human, but also increasingly includes animal ethics), including those emerging from advances in biology, medicine, and technologies."
biofeedback,"Biofeedback is the technique of gaining greater awareness of many physiological functions of one's own body by using electronic or other instruments, and with a goal of being able to manipulate the body's systems at will."
biogeography,Biogeography is the study of the distribution of species and ecosystems in geographic space and through geological time.
biography,"A biography, or simply bio, is a detailed description of a person's life."
biologist,A biologist is a scientist who conducts research in biology.
biology,Biology is the scientific study of life.
bioluminescence,Bioluminescence is the production and emission of light by living organisms.
biomass,"Biomass is a term used in several contexts: in the context of ecology it means living organisms, and in the context of bioenergy it means matter from recently living (but now dead) organisms."
biome,A biome () is a biogeographical unit consisting of a biological community that has formed in response to the physical environment in which they are found and a shared regional climate.
biomedicine,"Biomedicine (also referred to as Western medicine, mainstream medicine or conventional medicine) is a branch of medical science that applies biological and physiological principles to clinical practice."
biometrics,Biometrics are body measurements and calculations related to human characteristics.
bionics,"Bionics or biologically inspired engineering is the application of biological methods and systems found in nature to the study and design engineering systems and modern technology.The word bionic, coined by Jack E. Steele in August 1958, is a portmanteau from biology and electronics which was popularized by the 1970s U.S. television series The Six Million Dollar Man and The Bionic Woman, both based on the novel Cyborg by Martin Caidin."
bionomics,"Bionomics (Greek: bio = life; nomos = law) has two different meanings: 

the first is the comprehensive study of an organism and its relation to its environment."
biophysics,Biophysics is an interdisciplinary science that applies approaches and methods traditionally used in physics to study biological phenomena.
biopiracy,Biopiracy (also known as scientific colonialism) is defined as the unauthorized appropriation of knowledge and genetic resources of farming and indigenous communities by individuals or institutions seeking exclusive monopoly control through patents or intellectual property.
biopsy,"A biopsy is a medical test commonly performed by a surgeon, an interventional radiologist, or an interventional cardiologist."
bioremediation,"Bioremediation broadly refers to any process wherein a biological system (typically bacteria, microalgae, fungi in mycoremediation, and plants in phytoremediation), living or dead, is employed for removing environmental pollutants from air, water, soil, flue gasses, industrial effluents etc., in natural or artificial settings."
biosafety,"Biosafety is the prevention of large-scale loss of biological integrity, focusing both on ecology and human health."
biosphere,"The biosphere (from Greek βίος bíos ""life"" and σφαῖρα sphaira ""sphere""), also known as the ecosphere (from Greek οἶκος oîkos ""environment"" and σφαῖρα), is the worldwide sum of all ecosystems."
biostatistics,Biostatistics (also known as biometry) is a branch of statistics that applies statistical methods to a wide range of topics in biology.
biosynthesis,"In molecular biology, biosynthesis is a multi-step, enzyme-catalyzed process where substrates are converted into more complex products in living organisms."
biotechnology,"Biotechnology is a multidisciplinary field that involves the integration of natural sciences and engineering sciences in order to achieve the application of organisms, cells, parts thereof and molecular analogues for products and services.The term biotechnology was first used by Károly Ereky in 1919, to refer to the production of products from raw materials with the aid of living organisms."
bioterrorism,Bioterrorism is terrorism involving the intentional release or dissemination of biological agents.
biotin,Biotin (also known as vitamin B7 or vitamin H) is one of the B vitamins.
biotite,"Biotite is a common group of phyllosilicate minerals within the mica group, with the approximate chemical formula K(Mg,Fe)3AlSi3O10(F,OH)2."
bipedalism,Bipedalism is a form of terrestrial locomotion where a tetrapod moves by means of its two rear (or lower) limbs or legs.
biplane,A biplane is a fixed-wing aircraft with two main wings stacked one above the other.
birch,"A birch is a thin-leaved deciduous hardwood tree of the genus Betula (), in the family Betulaceae, which also includes alders, hazels, and hornbeams."
bird,"Birds are a group of warm-blooded vertebrates constituting the class Aves (), characterised by feathers, toothless beaked jaws, the laying of hard-shelled eggs, a high metabolic rate, a four-chambered heart, and a strong yet lightweight skeleton."
birdcage,A birdcage (or bird cage) is a cage designed to house birds as pets.
birdlime,Birdlime or bird lime is an adhesive substance used in trapping birds.
birefringence,Birefringence is the optical property of a material having a refractive index that depends on the polarization and propagation direction of light.
biretta,"The biretta (Latin: biretum, birretum) is a square cap with three or four peaks or horns, sometimes surmounted by a tuft."
birth,"Birth is the act or process of bearing or bringing forth offspring, also referred to in technical contexts as parturition."
birthday,"A birthday is the anniversary of the birth of a person, or figuratively of an institution."
birthmark,"A birthmark is a congenital, benign irregularity on the skin which is present at birth or appears shortly after birth—usually in the first month."
birthright,"Birthright is the concept of things being due to a person upon or by fact of their birth, or due to the order of their birth."
biryani,Biryani () is a mixed rice dish that is thought to have originated from Iran or South India.
biscuit,"A biscuit, in most English speaking countries, is a flour-based baked and shaped food product."
bise,"The Bise (French: La Bise) is a cold, dry wind in Switzerland which blows through the Swiss Plateau from the northeast to the southwest."
bisection,"In geometry, bisection is the division of something into two equal or congruent parts (having the same shape and size)."
bisexuality,"Bisexuality is a romantic or sexual attraction or behavior toward both males and females (gender binary), to more than one gender, or to both people of the same gender and different genders."
bishop,A bishop is an ordained member of the clergy who is entrusted with a position of authority and oversight in a religious institution.
bismuth,Bismuth is a chemical element; it has symbol Bi and atomic number 83.
bison,"A bison (plural: bison) is a large bovine in the genus Bison (Greek: ""wild ox"" (bison)) within the tribe Bovini."
bistre,Bistre (or bister) is a pigment made from soot.
bistro,"A bistro or bistrot (), in its original Parisian form, is a small restaurant serving moderately priced, simple meals in a modest setting."
bit,The bit is the most basic unit of information in computing and digital communications.
bitartrate,Bitartrate is an anion which is the conjugate base of tartaric acid.
bitmap,"In computing, a bitmap is a mapping from some domain (for example, a range of integers) to bits."
bittercress,Bittercress or Bitter-cress may refer to:
bittern,Bitterns are birds belonging to the subfamily Botaurinae of the heron family Ardeidae.
bitterroot,Bitterroot (Lewisia rediviva) is a small perennial herb in the family Montiaceae.
bitters,A bitters (plural also bitters) is traditionally an alcoholic preparation flavored with botanical matter for a bitter or bittersweet flavor.
bitterweed,Bitterweed may refer to:
bitumen,"Bitumen (UK: , US: ) is an immensely viscous constituent of petroleum."
black,Black is a color that results from the absence or complete absorption of visible light.
blackberry,"The blackberry is an edible fruit produced by many species in the genus Rubus in the family Rosaceae, hybrids among these species within the subgenus Rubus, and hybrids between the subgenera Rubus and Idaeobatus."
blackboard,"A blackboard or a chalkboard is a reusable writing surface on which text or drawings are made with sticks of calcium sulphate or calcium carbonate, known, when used for this purpose, as chalk."
blackbuck,"The blackbuck (Antilope cervicapra), also known as the Indian antelope, is a medium-sized antelope native to India and Nepal."
blackdamp,"Blackdamp (also known as stythe or choke damp) is an asphyxiant, reducing the available oxygen content of air to a level incapable of sustaining human or animal life."
blackface,Blackface is the practice of non-black performers using burnt cork or theatrical makeup to portray a caricature of black people on stage or in entertainment.
blackfish,"Blackfish is a common name for various species of fishes and cetaceans, including:"
blackheart,Blackheart is a fictional character appearing in American comic books published by Marvel Comics.
blackjack,Blackjack (formerly black jack and vingt-un) is a casino banking game.: 342  It is the most widely played casino banking game in the world.
blackmail,Blackmail is an act of coercion using a threat.
blacksmith,"A blacksmith is a metalsmith who creates objects primarily from wrought iron or steel, but sometimes from other metals, by forging the metal, using tools to hammer, bend, and cut (cf."
bladder,The bladder is a hollow organ in humans and other vertebrates that stores urine from the kidneys before disposal by urination.
bladderpod,Bladderpod is a common name for several plants and may refer to:
blade,"A blade is the portion of a tool, weapon, or machine with an edge that is designed to puncture, chop, slice or scrape surfaces or materials."
blame,"Blame is the act of censuring, holding responsible, or making negative statements about an individual or group that their actions or inaction are socially or morally irresponsible, the opposite of praise."
blanc,"Blanc or le Blanc is a surname of French origin, meaning White."
blancmange,"Blancmange (, from French: blanc-manger [blɑ̃mɑ̃ʒe]) is a sweet dessert popular throughout Europe commonly made with milk or cream and sugar thickened with rice flour, gelatin, corn starch, or Irish moss (a source of carrageenan), and often flavoured with almonds."
blanket,A blanket is a swath of soft cloth large enough either to cover or to enfold most of the user's body and thick enough to keep the body warm by trapping radiant body heat that otherwise would be lost through convection.
blarney,"Blarney (Irish: an Bhlarna, meaning 'the little field') is a suburban town within the administrative area of Cork City in Ireland."
blasphemy,"Blasphemy, as defined in some religions or religion-based laws, is an insult that shows contempt, disrespect or lack of reverence concerning a deity, an object considered sacred or something considered inviolable."
blastema,"A blastema (Greek βλάστημα, ""offspring"") is a mass of cells capable of growth and regeneration into organs or body parts."
blastocoel,"The blastocoel (), also spelled blastocoele and blastocele, and also called cleavage cavity, or segmentation cavity is a fluid-filled or yolk-filled cavity that forms in the blastula during very early embryonic development."
blastocyst,The blastocyst is a structure formed in the early embryonic development of mammals.
blastoderm,"A blastoderm (germinal disc, blastodisc) is a single layer of embryonic epithelial tissue that makes up the blastula."
blastodisc,"The blastodisc, also called the germinal disc, is the embryo-forming part on the yolk of the egg of an animal that undergoes discoidal meroblastic cleavage."
blastoma,"A blastoma is a type of cancer, more common in children, that is caused by malignancies in precursor cells, often called blasts."
blastomere,"In biology, a blastomere is a type of cell produced by cell division (cleavage) of the zygote after fertilization; blastomeres are an essential part of blastula formation, and blastocyst formation in mammals."
blastomycosis,"Blastomycosis, also known as Gilchrist's disease, is a fungal infection, typically of the lungs, which can spread to brain, stomach, intestine and skin, where it appears as crusting purplish warty plaques with a roundish bumpy edge and central depression."
blaxploitation,Blaxploitation is an ethnic subgenre of the exploitation film that emerged in the United States during the early 1970s.
blazer,"A blazer is a type of jacket resembling a suit jacket, but cut more casually."
blazon,"In heraldry and heraldic vexillology, a blazon is a formal description of a coat of arms, flag or similar emblem, from which the reader can reconstruct the appropriate image."
bleach,Bleach is the generic name for any chemical product that is used industrially or domestically to remove colour (whitening) from fabric or fiber (in a process called bleaching) or to disinfect after cleaning.
bleacher,"Bleachers (North American English), or stands, are raised, tiered rows of benches found at sports fields and other spectator events."
bleeding,"Bleeding, hemorrhage, haemorrhage or blood loss is blood escaping from the circulatory system from damaged blood vessels."
blender,"A blender (sometimes called a mixer or liquidiser in British English) is a kitchen and laboratory appliance used to mix, crush, purée or emulsify food and other substances."
blepharitis,"Blepharitis, sometimes known as ""granulated eyelids,"" is one of the most common ocular conditions characterized by inflammation, scaling, reddening, and crusting of the eyelid."
blepharospasm,Blepharospasm is any abnormal contraction of the orbicularis oculi muscle.
blessing,"In religion, a blessing (also used to refer to bestowing of such) is the impartation of something with grace, holiness, spiritual redemption, or divine will."
bletia,"Bletia is a genus of about 30 species of orchids (family Orchidaceae), almost all of which are terrestrial; some are occasionally lithophytic or epiphytic."
blight,Blight refers to a specific symptom affecting plants in response to infection by a pathogenic organism.
blimp,"A blimp, or non-rigid airship, is an airship (dirigible) without an internal structural framework or a keel."
blindfold,"A blindfold (from Middle English blindfellen) is a garment, usually of cloth, tied to one's head to cover the eyes to disable the wearer's sight."
blini,"A blini (plural blinis or blini, rarely bliny; Russian: блины pl.), traditionally also called a blin is a Russian and more broadly Eastern European pancake made from  various kinds of flour or buckwheat, wheat, etc."
blinking,Blinking is a bodily function; it is a semi-autonomic rapid closing of the eyelid.
blintz,"A blintz (Hebrew: חֲבִיתִית; Yiddish: בלינצע) is a rolled filled pancake in Ashkenazi Jewish cuisine, similar to a crepe or Russian blini."
blister,"A blister is a small pocket of body fluid (lymph, serum, plasma, blood, or pus) within the upper layers of the skin, usually caused by forceful rubbing (friction), burning, freezing, chemical exposure or infection."
blitzkrieg,"Blitzkrieg ( BLITS-kreeg, German: [ˈblɪtskʁiːk] ; from Blitz 'lightning' + Krieg 'war') or Bewegungskrieg is a word used to describe a combined arms surprise attack using a rapid, overwhelming force concentration that may consist of armored and motorized or mechanized infantry formations, together with artillery, air assault and close air support, with intent to break through the opponent's lines of defense, dislocate the defenders, unbalance the enemies by making it difficult to respond to the continuously changing front, and defeat them in a decisive Vernichtungsschlacht: a battle of annihilation.During the interwar period, aircraft and tank technologies matured and were combined with systematic application of the traditional German tactic of Bewegungskrieg (maneuver warfare), deep penetrations and the bypassing of enemy strong points to encircle and destroy enemy forces in a Kesselschlacht (cauldron battle/battle of encirclement)."
blizzard,"A blizzard is a severe snowstorm characterized by strong sustained winds and low visibility, lasting for a prolonged period of time—typically at least three or four hours."
blockade,"A blockade is the act of actively preventing a country or region from receiving or sending out food, supplies, weapons, or communications, and sometimes people, by military force."
blockage,"Blockage (Persian: سد معبر, romanized: Sade Ma'bar) is a 2017 Iranian drama film directed by Mohsen Gharaie and written by Saeed Roustayi."
blockhouse,"A blockhouse is a small fortification, usually consisting of one or more rooms with loopholes, allowing its defenders to fire in various directions."
blog,"A blog (a truncation of ""weblog"") is an informational website consisting of discrete, often informal diary-style text entries (posts)."
bloke,"Bloke is a slang term for a common man in the United Kingdom, Ireland, Australia, New Zealand and South Africa."
blond,"Blond (MASC) or blonde (FEM), also referred to as fair hair, is a human hair color characterized by low levels of the dark pigment eumelanin."
blood,"Blood is a body fluid in the circulatory system of humans and other vertebrates that delivers necessary substances such as nutrients and oxygen to the cells, and transports metabolic waste products away from those same cells."
bloodbath,"Bloodbath is a Swedish death metal supergroup from Stockholm, formed in 1998."
bloodhound,"The bloodhound is a large scent hound, originally bred for hunting deer, wild boar, rabbits, and since the Middle Ages, for tracking people."
bloodletting,Bloodletting (or blood-letting) is the withdrawal of blood from a patient to prevent or cure illness and disease.
bloodmobile,A bloodmobile is a mobile blood donation center.
bloomers,"Bloomers, also called the bloomer, the Turkish dress, the American dress, or simply reform dress, are divided women's garments for the lower body."
blooper,"A blooper is a short clip from a film or video production, usually a deleted scene, containing a mistake made by a member of the cast or crew."
blossom,"In botany, blossoms are the flowers of stone fruit trees (genus Prunus) and of some other plants with a similar appearance that flower profusely for a period of time in spring."
blouse,"A blouse () is a loose-fitting upper garment that may be worn by workmen, peasants, artists, women, and children."
blowgun,A blowgun (also called a blowpipe or blow tube) is a simple ranged weapon consisting of a long narrow tube for shooting light projectiles such as darts.
blowtorch,"A blowtorch, also referred to as a blowlamp, is an ambient air fuel-burning gas lamp used for applying flame and heat to various applications, usually metalworking."
blowup,Blow-Up (sometimes styled as Blowup or Blow Up) is a 1966 mystery thriller film directed by Michelangelo Antonioni and produced by Carlo Ponti.
blubber,"Blubber is a thick layer of vascularized adipose tissue under the skin of all cetaceans, pinnipeds, penguins, and sirenians."
blue,"Blue is one of the three primary colours in the RYB colour model (traditional colour theory), as well as in the RGB (additive) colour model."
blueberry,Blueberries are a widely distributed and widespread group of perennial flowering plants with blue or purple berries.
bluebill,The bluebills are the genus Spermophaga  of the estrildid finches family.
bluebird,"The bluebirds are a North American group of medium-sized, mostly insectivorous or omnivorous birds in the order of Passerines in the genus Sialia of the thrush family (Turdidae)."
bluecoat,"The bluecoat is a style of dress code, traditionally worn in bluecoat schools (English private schools deriving from charity schools)."
bluefish,The bluefish (Pomatomus saltatrix) is the only extant species of the family Pomatomidae.
bluegill,"The bluegill (Lepomis macrochirus), sometimes referred to as ""bream,"" ""brim,"" ""sunny,"" or, as is common in Texas, ""copper nose"", is a species of North American freshwater fish, native to and commonly found in streams, rivers, lakes, ponds and wetlands east of the Rocky Mountains."
bluenose,"Bluenose was a fishing and racing gaff rig schooner built in 1921 in Lunenburg, Nova Scotia, Canada."
blueprint,A blueprint is a reproduction of a technical drawing or engineering drawing using a contact print process on light-sensitive sheets introduced by Sir John Herschel in 1842.
blues,Blues is a music genre and musical form that originated in the Deep South of the United States around the 1860s.
bluestocking,"Bluestocking (also spaced blue-stocking or blue stockings) is a term for an educated, intellectual woman, originally a member of the 18th-century Blue Stockings Society from England led by the hostess and critic Elizabeth Montagu (1718–1800), the ""Queen of the Blues"", including Elizabeth Vesey (1715–1791), Hester Chapone (1727–1801) and the classicist Elizabeth Carter (1717–1806)."
bluestone,"Bluestone is a cultural or commercial name for a number of dimension or building stone varieties, including:

basalt in Victoria, Australia, and in New Zealand
dolerites in Tasmania, Australia; and in Britain (including Stonehenge)
feldspathic sandstone in the US and Canada
limestone in the Shenandoah Valley in the US, from the Hainaut quarries in Soignies, Belgium, and from quarries in County Carlow, County Galway and County Kilkenny in Ireland
slate in South Australia


== Stonehenge ==
The term ""bluestone"" in Britain is used in a loose sense to cover all of the ""foreign,"" not intrinsic, stones and rock debris at Stonehenge."
bluethroat,"The bluethroat  (Luscinia svecica) is a small passerine bird that was formerly classed as a member of the thrush family Turdidae, but is now more generally considered to be an Old World flycatcher, Muscicapidae."
blueweed,Blueweed or blue weed is a common name for several plants and may refer to:
blunderbuss,"The blunderbuss is a 17th- to mid-19th-century firearm with a short, large caliber barrel which is commonly flared at the muzzle, to help aid in the loading of shot and other projectiles of relevant quantity or caliber."
blurb,A blurb is a short promotional piece accompanying a piece of creative work.
blusher,The blusher is the common name for several closely related species of the genus Amanita.
boardwalk,"A boardwalk (alternatively board walk, boarded path, or promenade) is an elevated footpath, walkway, or causeway typically built with wooden planks, which functions as a type of low water bridge or small viaduct that enables pedestrians to better cross wet, muddy or marshy lands."
boasting,"Boasting or bragging is speaking with excessive pride and self-satisfaction about one's achievements, possessions, or abilities."
boat,"A boat is a watercraft of a large range of types and sizes, but generally smaller than a ship, which is distinguished by its larger size, shape, cargo or passenger capacity, or its ability to carry boats."
boater,"A boater (also straw boater, basher, skimmer, The English Panama, cady, katie, canotier, somer, sennit hat, or in Japan, can-can hat, suruken) is a semi-formal summer hat for men, which was popularised in the late 19th century and early 20th century."
boathouse,"A boathouse (or a boat house) is a building especially designed for the storage of boats, normally smaller craft for sports or leisure use."
boating,"Boating is the leisurely activity of travelling by boat, or the recreational use of a boat whether powerboats, sailboats, or man-powered vessels (such as rowing and paddle boats), focused on the travel itself, as well as sports activities, such as fishing or waterskiing."
boatswain,"A boatswain ( BOH-sən, formerly and dialectally also  BOHT-swayn), bo's'n, bos'n, or bosun, also known as a deck boss, or a qualified member of the deck department, is the most senior rate of the deck department and is responsible for the components of a ship's hull."
bobbin,"A bobbin or spool is a spindle or cylinder, with or without flanges, on which yarn, thread, wire, tape or film is wound."
bobcat,"The bobcat (Lynx rufus), also known as the red lynx, is one of the four extant species within the medium-sized wild cat genus Lynx."
bobolink,The bobolink (Dolichonyx oryzivorus) is a small New World blackbird and the only member of the genus Dolichonyx.
bobsleigh,"Bobsleigh or Bobsled is a winter sport in which teams of 2 to 4 athletes make timed runs down narrow, twisting, banked, iced tracks in a gravity-powered sleigh."
bocce,"Bocce (, or , Italian: [ˈbɔttʃe]), sometimes anglicized as bocce ball, bocci, or boccie, is a ball sport belonging to the boules family."
bocci,"Bocci is a Canadian design and manufacturing company based in Vancouver and Berlin, founded in 2005 by Randy Bishop and Omer Arbel."
bock,"Bock ((German: [bɔk] ) is a strong German beer, usually a dark lager."
bodice,"A bodice ( ) is an article of clothing traditionally for women and girls, covering the torso from the neck to the waist."
bodybuilding,"Bodybuilding is the practice of progressive resistance exercise to build, control, and develop one's muscles via hypertrophy."
bodyguard,"A bodyguard (or close protection officer/operative) is a type of security guard, government law enforcement officer, or servicemember who protects a person or a group of people — usually witnesses, high-ranking public officials or officers, wealthy people, and celebrities — from danger: generally theft, assault, kidnapping, assassination, harassment, loss of confidential information, threats, or other criminal offences."
boffin,"Boffin is a British slang term for a scientist, engineer, or other person engaged in technical or scientific research and development."
bog,"A bog or bogland is a wetland that accumulates peat as a deposit of dead plant materials – often mosses, typically sphagnum moss."
bogeyman,"The bogeyman (; also spelled or known as bogyman, bogy, bogey, and, in North American English, also boogeyman) is a mythical creature used by adults to frighten children into good behaviour."
bogie,"A bogie ( BOH-ghee) (or truck in North American English) is a chassis or framework that carries a wheelset, attached to a vehicle—a modular subassembly of wheels and axles."
bogy,Bogy (French pronunciation: [bɔʒi]; Occitan: Bògi) is a commune of the Ardèche department in southern France.
bohemia,Bohemia ( boh-HEE-mee-ə; Czech: Čechy [ˈtʃɛxɪ] ; German: ; Upper Sorbian: Čěska [ˈtʃɪska]; Silesian: Czechy) is the westernmost and largest historical region of the Czech Republic.
bohemianism,"Bohemianism is a social and cultural movement that has, at its core, a way of life away from society's conventional norms and expectations."
bohrium,Bohrium is a synthetic chemical element; it has symbol Bh and atomic number 107.
boil,"A boil, also called a furuncle, is a deep folliculitis, which is an infection of the hair follicle."
boiler,A boiler is a closed vessel in which fluid (generally water) is heated.
boilersuit,"A boilersuit (or boiler suit), also known as coveralls, is a loose fitting garment covering the whole body except for the head, hands and feet."
boiling,Boiling or ebullition is the rapid phase transition from liquid to gas or vapor; the reverse of boiling is condensation.
boldness,Boldness is the opposite of shyness.
bolero,Bolero is a genre of song which originated in eastern Cuba in the late 19th century as part of the trova tradition.
bolete,"A bolete is a type of mushroom, or fungal fruiting body."
bolide,"A bolide is normally taken to mean an exceptionally bright meteor, but the term is subject to more than one definition, according to context."
bolivia,"Bolivia, officially the Plurinational State of Bolivia, is a landlocked country located in western-central South America."
bollard,"A bollard is a sturdy, short, vertical post."
bollworm,"Bollworm is the common term for a moth larva that attacks the fruiting bodies of certain crops, especially cotton."
bologna,"Bologna (, UK also , Italian: [boˈloɲɲa] ; Emilian: Bulåggna [buˈlʌɲɲa]; Latin: Bononia) is the capital and largest city of the Emilia-Romagna region in Northern Italy."
bolometer,A bolometer is a device for measuring radiant heat by means of a material having a temperature-dependent electrical resistance.
bolster,"A bolster is a long narrow pillow or cushion filled with cotton, down or fibre."
bomb,A bomb is an explosive weapon that uses the exothermic reaction of an explosive material to provide an extremely sudden and violent release of energy.
bombardment,"A bombardment is an attack by artillery fire or by dropping bombs from aircraft on fortifications, combatants, or cities and buildings."
bombazine,"Bombazine, or bombasine, is a fabric originally made of silk or silk and wool, and now also made of cotton and wool or of wool alone."
bomber,"A bomber is a military combat aircraft designed to attack ground and naval targets by dropping air-to-ground weaponry (such as bombs), launching torpedoes, or deploying air-launched cruise missiles."
bombsight,A bombsight is a device used by military aircraft to drop bombs accurately.
bonanza,"Bonanza is an American Western television series that ran on NBC from September 12, 1959, to January 16, 1973."
bonbon,A bonbon is a small chocolate confection.
bone,A bone is a rigid organ that constitutes part of the skeleton in most vertebrate animals.
bonefish,"The bonefish (Albula vulpes) is the type species of the bonefish family (Albulidae), the only family in order Albuliformes."
boneset,Boneset may refer to:
bonfire,"A bonfire is a large and controlled outdoor fire, used either for informal disposal of burnable waste material or as part of a celebration."
bong,"A bong (also known as a water pipe) is a filtration device generally used for smoking cannabis, tobacco, or other herbal substances."
bonito,"Bonitos are a tribe of medium-sized, ray-finned predatory fish in the family Scombridae – a family it shares with the mackerel, tuna, and Spanish mackerel tribes, and also the butterfly kingfish."
bonnethead,"The bonnethead (Sphyrna tiburo), also called a bonnet shark or shovelhead, is a small member of the hammerhead shark genus Sphyrna, and part of the family Sphyrnidae."
bonobo,"The bonobo (; Pan paniscus), also historically called the pygmy chimpanzee (less often the dwarf chimpanzee or gracile chimpanzee), is an endangered great ape and one of the two species making up the genus Pan (the other being the common chimpanzee, Pan troglodytes)."
bonsai,"Bonsai (Japanese: 盆栽, lit. 'tray planting', pronounced [boɰ̃sai] ) is the Japanese art of growing and shaping miniature trees in containers, developed from the traditional Chinese art form of penjing (盆景)."
booby,"A booby is a seabird in the genus Sula, part of the family Sulidae."
boodle,Boodle is a slang term for money derived from the Dutch word 'boedel' meaning property or estate.
boogie,"Boogie is a repetitive, swung note or shuffle rhythm, ""groove"" or pattern used in blues which was originally played on the piano in boogie-woogie music."
book,"A book is a medium for recording information in the form of writing or images, typically composed of many pages (made of papyrus, parchment, vellum, or paper) bound together and protected by a cover."
bookbinding,"Bookbinding is the process of building a book, usually in codex format, from an ordered stack of paper sheets with one's hands and tools, or in modern publishing, by automated processes."
bookcase,"A bookcase, or bookshelf, is a piece of furniture with horizontal shelves, often in a cabinet, used to store books or other printed materials."
bookend,"A bookend is an object tall, sturdy, and heavy enough that is placed at either end of a row of upright books to support or buttress them."
bookkeeping,"Bookkeeping is the recording of financial transactions, and is part of the process of accounting in business and other organizations."
bookmaker,"A bookmaker, bookie, or turf accountant is an organization or a person that accepts and pays out bets on sporting and other events at agreed-upon odds."
bookmark,"A bookmark is a thin marking tool, commonly made of card, leather, or fabric, used to keep track of a reader's progress in a book and allow the reader to easily return to where the previous reading session ended."
bookmobile,"A bookmobile, or mobile library, is a vehicle designed for use as a library."
boomerang,A boomerang () is a thrown tool typically constructed with aerofoil sections and designed to spin about an axis perpendicular to the direction of its flight.
boondocks,"The boondocks is an American expression from the Tagalog (Filipino) word bundók (""mountain"")."
boondoggle,"A boondoggle is a project that is considered a waste of both time and money, yet is often continued due to extraneous policy or political motivations."
boot,A boot is a type of footwear.
bootee,A bootee (also bootie or booty) is a short soft sock or bootlike garment used for warmth or protection.
boothose,"Boothose (boot-hose, boot hose) are over-stockings or boot liners worn in the sixteenth and seventeenth centuries to protect fine knitted stockings from wear."
borage,"Borage (  or ; Borago officinalis), also known as starflower, is an annual herb in the flowering plant family Boraginaceae native to the Mediterranean region."
borate,"A borate is any of a range of boron oxyanions, anions containing boron and oxygen, such as orthoborate BO3−3, metaborate BO−2, or tetraborate B4O2−7; or any salt of such anions, such as sodium metaborate, Na+[BO2]− and borax (Na+)2[B4O7]2−."
borax,"Borax (also referred to as sodium borate, tincal () and tincar ()) is a salt (ionic compound), a hydrated or anhydrous borate of sodium, with the chemical formula Na2H20B4O17."
border,"Borders are usually defined as geographical boundaries, imposed either by features such as oceans and terrain, or by political entities such as governments, sovereign states, federated states, and other subnational entities."
boredom,"In conventional usage, boredom, ennui, or tedium is an emotion characterized by uninterest in one's surrounding, often caused by a lack of distracts or occupations in the mean time."
bornite,"Bornite, also known as peacock ore, is a sulfide mineral with chemical composition Cu5FeS4 that crystallizes in the orthorhombic system (pseudo-cubic)."
boron,Boron is a chemical element; it has symbol B and atomic number 5.
borough,A borough is an administrative division in various English-speaking countries.
borrelia,Borrelia is a genus of bacteria of the spirochete phylum.
borscht,"Borscht (English:   ) is a sour soup, made with meat stock, vegetables and seasonings, common in Eastern Europe and Northern Asia."
borsh,"Borsh (Albanian pronunciation: [ˈbɔɾʃ]; Albanian definite form: Borshi, [ˈbɔɾʃi]) is a maritime village, in the Albanian Riviera, in the former Lukovë municipality, Vlorë County, Albania."
borstal,"A borstal was a type of youth detention centre in the United Kingdom, several member states of the Commonwealth and the Republic of Ireland."
borzoi,The Borzoi or Russian Hunting Sighthound is a Russian breed of hunting dog of sighthound type.
boson,"In particle physics, a boson ( ) is a subatomic particle whose spin quantum number has an integer value (0, 1, 2, ...)."
bota,"Bota (Perak Malay: Bote; Jawi: بوتا; Chinese: 波打) is a mukim in Perak Tengah District, Perak, Malaysia."
botany,"Botany, also called plant science (or plant sciences), plant biology or phytology, is the science of plant life and a branch of biology."
botfly,"Botflies, also known as warble flies, heel flies, and gadflies, are a family of flies known as the Oestridae."
bottle,"A bottle is a narrow-necked container made of an impermeable material (such as glass, plastic or aluminium) in various shapes and sizes that stores and transports liquids."
